	Krasinskiego - Kosciuszki Junction, 12 K-1 - 41									

0	Debnicki Most - 41081, 81041									

1	Kosciuszki - 41047, 47041									

2	Krasinskiego - 41040, 40041									

3	Zwierzyniecka - 41042, 42041									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	2	32	3	1	0	0	0	0
0	56	1	2	34	4	0	0	0	0	0
0	57	1	2	31	4	1	0	0	0	0
0	58	1	2	30	4	0	0	0	0	0
0	59	1	2	40	4	1	0	0	0	0
0	60	1	2	33	3	0	0	0	0	0
0	61	1	2	31	4	0	0	0	0	0
0	62	1	2	31	3	0	0	0	0	0
0	63	1	2	35	3	1	0	0	0	0
0	64	1	2	33	3	1	0	0	0	0
0	65	1	2	34	3	0	0	0	0	0
0	66	1	2	29	3	0	0	0	0	0
0	55	2	22	291	29	10	1	0	0	0
0	56	2	19	304	37	4	3	1	0	0
0	57	2	14	279	32	5	1	0	0	0
0	58	2	14	267	33	3	1	0	0	0
0	59	2	20	360	40	5	0	0	0	0
0	60	2	18	293	31	4	1	0	0	0
0	61	2	18	277	32	4	0	0	0	0
0	62	2	21	278	26	3	0	0	0	0
0	63	2	14	319	28	5	1	0	0	0
0	64	2	15	293	26	5	0	0	0	0
0	65	2	14	308	28	4	0	0	0	0
0	66	2	15	265	24	2	1	0	1	0
0	55	3	0	15	4	2	0	0	0	0
0	56	3	0	16	5	0	0	0	0	0
0	57	3	1	18	5	0	0	1	0	0
0	58	3	1	23	3	0	0	0	0	0
0	59	3	2	21	0	0	0	0	0	0
0	60	3	2	10	3	0	0	0	0	0
0	61	3	0	12	3	0	0	0	0	0
0	62	3	0	23	7	0	0	1	0	0
0	63	3	0	12	2	1	0	0	0	0
0	64	3	0	11	6	1	0	0	0	0
0	65	3	0	13	4	1	0	0	0	0
0	66	3	0	12	5	2	0	0	0	0
1	55	1	0	7	1	0	0	0	0	0
1	56	1	0	4	1	0	0	0	0	0
1	57	1	0	5	0	0	0	0	1	0
1	58	1	0	4	1	0	0	0	0	0
1	59	1	0	3	0	0	0	0	0	0
1	60	1	0	4	1	0	0	0	0	0
1	61	1	0	6	1	0	0	0	0	0
1	62	1	0	4	1	0	0	0	0	0
1	63	1	0	5	1	0	0	0	0	0
