	Ksiecia Jozefa - Malczewskiego Junction, 13 K-74 - 182									

0	Ksiecia Jozefa Most Zwierzyniecki - 182050, 50182									

1	Ksiecia Jozefa Mirowska - 182049, 49182									

2	Malczewskiego - 182048, 48182									

3	Ksiecia Jozefa Kosciuszki - 182047, 47182									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	98	8	0	0	1	0	0
0	55	2	0	8	145	9	0	0	0	0
0	55	3	0	10	1	0	0	0	0	0
0	56	1	0	84	7	0	0	0	0	0
0	56	2	3	134	11	2	1	0	0	0
0	56	3	0	6	2	0	0	0	0	0
0	57	1	0	88	9	0	1	0	0	0
0	57	2	6	167	8	2	0	0	0	0
0	57	3	4	7	1	1	0	0	0	0
0	58	1	0	85	6	0	0	0	0	0
0	58	2	4	149	18	1	0	0	0	0
0	58	3	1	5	0	0	0	0	0	0
0	59	1	0	76	5	2	0	0	0	0
0	59	2	2	133	24	4	1	0	1	0
0	59	3	1	13	1	0	0	0	0	0
0	60	1	0	108	1	0	0	0	0	0
0	60	2	7	149	20	1	0	0	1	0
0	60	3	0	13	2	1	0	0	1	0
0	61	1	0	97	4	0	0	0	0	0
0	61	2	19	151	13	2	2	0	0	0
0	61	3	0	15	3	0	0	0	0	0
0	62	1	0	116	1	0	0	0	0	0
0	62	2	5	156	13	2	2	2	1	0
0	62	3	1	17	0	0	0	0	0	0
0	63	1	0	76	2	0	0	0	0	0
0	63	2	12	166	16	4	0	0	0	0
0	63	3	1	12	0	0	0	0	0	0
0	64	1	0	125	8	1	0	0	0	0
0	64	2	8	185	13	4	1	0	0	0
0	64	3	1	10	0	0	0	0	0	0
0	65	1	0	89	3	0	0	0	0	0
0	65	2	5	143	9	4	1	1	0	0
0	65	3	0	10	0	0	0	0	0	0
0	66	1	0	79	1	0	0	1	0	0
0	66	2	6	116	12	4	0	1	0	0
0	66	3	1	9	1	0	0	1	0	0
1	55	1	0	5	0	1	0	0	1	0
1	55	2	0	30	5	5	3	0	0	0
1	55	3	1	37	2	2	0	0	0	0
1	56	1	1	0	1	0	0	0	0	0
1	56	2	0	46	10	4	1	0	0	0
1	56	3	7	36	5	0	0	0	0	0
1	57	1	0	1	0	0	0	1	0	0
1	57	2	0	53	8	4	1	0	0	0
1	57	3	8	47	5	0	0	0	2	0
1	58	1	0	1	0	0	0	0	0	0
1	58	2	0	46	3	3	1	0	0	0
1	58	3	5	35	6	0	0	0	0	0
1	59	1	0	1	1	0	0	0	0	0
1	59	2	0	71	5	3	0	0	0	0
1	59	3	5	59	3	0	0	0	0	0
1	60	1	0	3	0	0	0	0	0	0
1	60	2	0	40	8	2	1	0	0	0
1	60	3	11	43	9	0	1	0	0	0
1	61	1	0	2	0	0	0	0	0	0
1	61	2	0	60	5	2	1	0	0	0
1	61	3	7	50	2	0	0	0	1	0
1	62	1	0	2	0	0	0	0	0	0
1	62	2	1	55	6	3	0	1	0	0
1	62	3	4	34	0	0	0	0	0	0
1	63	1	0	2	0	0	0	0	0	0
1	63	2	0	70	7	1	0	0	0	0
1	63	3	7	64	3	0	0	1	0	0
1	64	1	0	1	0	0	0	0	0	0
1	64	2	0	78	13	5	0	0	0	0
1	64	3	6	46	5	0	0	0	0	0
1	65	1	0	2	0	0	0	0	0	0
1	65	2	1	67	7	5	0	0	0	0
1	65	3	7	45	7	0	0	0	0	0
1	66	1	0	2	0	0	0	0	0	0
1	66	2	0	45	5	1	2	0	0	0
1	66	3	3	26	6	1	0	0	0	0
2	55	1	0	6	0	0	0	0	1	0
2	55	2	0	3	0	0	0	0	0	0
2	55	3	0	4	1	0	0	0	2	0
2	56	1	1	2	0	1	0	0	0	0
2	56	2	0	2	0	0	0	0	0	0
2	56	3	0	1	2	0	0	0	0	0
2	57	1	0	7	0	1	0	0	0	0
2	57	2	1	8	1	0	0	0	0	0
2	57	3	0	2	0	0	0	0	0	0
2	58	1	1	5	0	0	0	0	1	0
2	58	2	0	4	0	1	0	0	0	0
2	58	3	0	4	0	0	0	0	0	0
2	59	1	0	2	0	0	0	0	0	0
2	59	2	0	7	1	0	0	0	0	0
2	59	3	0	2	0	0	0	0	0	0
2	60	1	1	3	1	0	0	0	0	0
2	60	2	0	4	1	1	0	0	0	0
2	60	3	0	3	0	0	0	0	1	0
2	61	1	1	2	0	0	0	0	0	0
2	61	2	0	9	2	0	0	0	0	0
2	61	3	1	3	1	0	0	0	0	0
2	62	1	1	5	2	0	0	0	0	0
2	62	2	0	9	0	0	0	0	1	0
2	62	3	0	2	0	0	0	1	0	0
2	63	1	1	3	0	0	0	0	0	0
2	63	2	1	3	0	0	0	0	0	0
2	63	3	0	2	0	0	0	0	0	0
2	64	1	0	11	1	0	0	0	0	0
2	64	2	0	6	2	0	0	0	0	0
2	64	3	0	3	0	0	0	0	0	0
2	65	1	0	10	0	0	0	0	0	0
2	65	2	1	4	0	0	0	0	0	0
2	65	3	0	1	0	0	0	0	0	0
2	66	1	1	3	0	0	0	0	0	0
2	66	2	0	2	0	0	0	0	0	0
2	66	3	0	1	0	0	0	0	0	0
3	55	1	0	107	8	0	0	0	0	0
3	56	1	1	101	5	0	0	0	0	0
3	57	1	0	115	11	0	0	0	0	0
3	58	1	1	103	7	0	0	0	0	0
3	59	1	0	107	4	1	0	0	0	0
3	60	1	0	132	5	0	0	0	1	0
3	61	1	0	128	6	0	0	0	0	0
3	62	1	0	164	8	1	0	0	0	0
3	63	1	0	133	10	2	0	1	0	0
3	64	1	0	177	8	1	0	1	0	0
3	65	1	0	121	9	0	0	1	0	0
3	66	1	0	120	8	0	0	1	0	0
