	Limanowskiego - Na Zjezdzie Junction, 63 P-6 - 102

0	Limanowskiego Wielicka - 102103, 103102

1	Limanowskiego - 102101, 101102

2	Na Zjezdzie - 102106, 106102


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	72	15	1	0	0	0	0
0	55	2	2	110	26	1	1	0	0	0
0	56	1	0	56	8	0	0	0	0	0
0	56	2	3	138	12	3	0	0	0	0
0	57	1	0	58	9	0	0	0	0	0
0	57	2	3	107	17	1	0	0	0	0
0	58	1	1	50	7	1	0	0	0	0
0	58	2	1	125	16	0	0	0	0	0
0	59	1	0	50	13	1	0	1	0	0
0	59	2	3	124	17	1	0	0	0	0
0	60	1	0	52	13	0	0	0	0	0
0	60	2	1	88	13	0	0	0	0	0
0	61	1	1	48	7	1	0	1	0	0
0	61	2	5	121	25	0	1	0	0	0
0	62	1	2	53	5	0	0	0	0	0
0	62	2	1	101	20	2	0	0	0	0
0	63	1	0	42	5	0	0	1	0	0
0	63	2	3	118	23	1	0	0	0	0
0	64	1	1	57	13	1	0	0	0	0
0	64	2	3	126	13	2	0	0	0	0
0	65	1	1	52	4	0	0	0	0	0
0	65	2	5	109	16	1	0	0	0	0
0	66	1	1	58	8	1	0	0	0	0
0	66	2	2	91	21	1	0	0	0	0
1	55	1	0	112	23	0	0	0	0	0
1	55	3	1	54	15	3	0	0	0	0
1	56	1	0	108	25	0	0	0	0	0
1	56	3	1	55	11	0	0	0	0	0
1	57	1	0	117	14	2	0	0	0	0
1	57	3	0	47	7	2	0	0	0	0
1	58	1	1	113	10	0	0	0	0	0
1	58	3	2	54	6	0	0	0	0	0
1	59	1	0	117	12	1	0	0	0	0
1	59	3	1	68	10	0	0	0	0	0
1	60	1	0	120	17	0	0	0	0	0
1	60	3	1	56	12	1	1	0	0	0
1	61	1	7	115	13	1	0	0	0	0
1	61	3	1	56	2	1	0	0	0	0
1	62	1	0	117	7	0	0	0	0	0
1	62	3	1	50	5	0	0	0	0	0
1	63	1	0	114	12	0	0	0	0	0
1	63	3	2	74	10	0	0	0	0	0
1	64	1	0	113	5	0	0	0	0	0
1	64	3	1	65	5	1	0	0	0	0
1	65	1	0	152	8	0	0	0	0	0
1	65	3	1	105	5	0	0	0	0	0
1	66	1	6	123	12	1	0	0	1	0
1	66	3	1	100	8	1	0	0	0	0
2	55	2	9	89	14	0	0	0	0	0
2	55	3	2	46	7	0	0	0	0	0
2	56	2	6	69	5	2	0	0	0	0
2	56	3	4	49	7	0	0	0	0	0
2	57	2	6	72	7	0	0	0	0	0
2	57	3	1	48	7	0	0	0	0	0
2	58	2	7	82	9	1	0	1	0	0
2	58	3	0	46	6	0	0	0	0	0
2	59	2	7	100	7	2	0	0	0	0
2	59	3	1	44	4	1	0	0	0	0
2	60	2	8	132	7	0	0	0	2	0
2	60	3	3	58	6	0	0	0	0	0
2	61	2	6	130	6	0	0	1	0	0
2	61	3	1	60	5	0	0	0	0	0
2	62	2	8	90	8	0	0	0	0	0
2	62	3	0	66	4	0	0	0	0	0
2	63	2	6	108	5	1	0	0	0	0
2	63	3	1	60	4	0	0	0	0	0
2	64	2	7	89	8	0	1	0	0	0
2	64	3	2	72	7	0	0	0	1	0
2	65	2	7	92	2	1	0	0	0	0
2	65	3	2	76	5	1	0	0	1	0
2	66	2	6	80	5	0	1	1	0	0
2	66	3	3	89	4	0	0	0	0	0
