	Mickiewicza - Reymonta Junction, 10 K-4 - 39

0	Mickiewicza Focha - 39040, 40039

1	Reymonta - 39012, 12039

2	Mickiewicza Czarnowiejska - 39038, 38039


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	50	3	0	0	0	0	0
0	55	2	23	355	33	2	1	2	1	0
0	56	1	0	34	2	0	1	0	0	0
0	56	2	11	392	29	0	7	0	0	0
0	57	1	1	31	4	0	0	0	0	0
0	57	2	13	368	15	0	6	0	0	0
0	58	1	1	32	6	0	0	0	0	0
0	58	2	12	336	23	1	13	4	0	0
0	59	1	0	45	4	0	0	0	0	0
0	59	2	13	339	19	0	7	0	0	0
0	60	1	0	39	3	0	0	1	0	0
0	60	2	15	309	11	0	4	0	0	0
0	61	1	0	46	6	0	0	1	0	0
0	61	2	13	310	16	2	5	1	0	0
0	62	1	0	64	15	2	0	1	0	0
0	62	2	18	341	24	3	7	2	0	0
0	63	1	0	68	25	0	0	2	1	0
0	63	2	16	425	22	0	6	1	0	0
0	64	1	0	42	2	0	1	0	0	0
0	64	2	17	457	17	1	3	1	0	0
0	65	1	0	40	1	2	0	0	0	0
0	65	2	13	382	20	3	4	0	0	0
0	66	1	0	39	8	0	0	0	0	0
0	66	2	18	353	22	4	5	2	0	0
1	55	1	0	27	2	0	0	0	0	0
1	55	3	1	72	10	0	0	1	0	0
1	56	1	0	31	4	0	0	0	0	0
1	56	3	0	58	7	1	0	0	0	0
1	57	1	0	33	3	1	0	0	0	0
1	57	3	0	67	11	1	0	1	0	0
1	58	1	0	21	6	1	0	0	0	0
1	58	3	0	46	6	2	0	0	0	0
1	59	1	0	33	3	0	0	0	0	0
1	59	3	1	64	7	0	0	1	0	0
1	60	1	0	43	5	0	0	0	0	0
1	60	3	0	80	5	0	0	0	0	0
1	61	1	0	38	4	1	0	0	0	0
1	61	3	0	77	6	1	0	0	0	0
1	62	1	0	23	3	0	0	0	0	0
1	62	3	0	53	6	0	0	0	0	0
1	63	1	1	30	1	0	0	0	0	0
1	63	3	0	63	8	1	0	0	0	0
1	64	1	0	28	2	0	0	0	0	0
1	64	3	0	64	9	1	0	0	0	0
1	65	1	0	35	4	0	0	1	2	0
1	65	3	1	82	6	0	0	0	0	0
1	66	1	0	31	6	0	0	0	0	0
1	66	3	0	72	8	1	0	1	0	0
2	55	2	10	312	48	15	0	2	0	0
2	55	3	0	16	6	0	0	0	0	0
2	56	2	7	329	59	7	5	3	1	0
2	56	3	0	14	1	0	0	2	1	0
2	57	2	13	350	64	10	3	0	1	0
2	57	3	0	15	4	1	0	1	1	0
2	58	2	15	316	60	10	1	0	3	0
2	58	3	0	15	2	0	0	0	0	0
2	59	2	15	328	62	6	1	0	1	0
2	59	3	0	20	2	0	0	1	1	0
2	60	2	10	301	56	11	3	0	3	0
2	60	3	0	16	0	0	0	0	1	0
2	61	2	5	372	49	3	1	0	0	0
2	61	3	0	11	0	0	0	0	0	0
2	62	2	9	335	49	3	1	2	2	0
2	62	3	0	9	3	0	0	0	0	0
2	63	2	13	360	55	3	1	1	1	0
2	63	3	0	28	3	0	0	0	0	0
2	64	2	15	310	44	4	2	2	0	0
2	64	3	0	19	1	0	0	0	0	0
2	65	2	10	390	58	3	2	3	0	0
2	65	3	0	23	2	0	0	1	0	0
2	66	2	10	324	68	5	3	5	2	0
2	66	3	0	17	1	0	0	3	1	0
