	Monte Cassino - Kapelanka Junction, 16 P-71 - 54									

0	Kapelanka - 54055, 55054									

1	Zielinskiego Bogdana - 54050, 50054									

2	Nowaczynskiego - 54053, 53054									

3	Monte Cassino - 54081, 81054									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	83	9	3	0	0	0	0
0	55	2	0	29	4	0	0	0	0	0
0	55	3	4	147	12	1	0	0	0	0
0	56	1	0	85	17	4	1	0	0	0
0	56	2	0	29	0	0	0	0	0	0
0	56	3	5	120	11	2	0	0	0	0
0	57	1	0	94	12	3	0	0	0	0
0	57	2	0	20	1	0	0	0	0	0
0	57	3	5	124	11	4	0	1	0	0
0	58	1	0	85	5	2	0	0	0	0
0	58	2	0	10	4	1	0	0	0	0
0	58	3	5	147	10	0	0	1	0	0
0	59	1	0	116	9	2	1	0	0	0
0	59	2	0	18	3	1	0	0	0	0
0	59	3	4	149	13	2	0	0	0	0
0	60	1	0	80	7	1	0	0	0	0
0	60	2	0	15	2	0	0	0	0	0
0	60	3	8	136	11	5	0	0	0	0
0	61	1	0	137	10	2	0	0	0	0
0	61	2	0	27	4	1	0	0	0	0
0	61	3	7	166	15	1	0	1	0	0
0	62	1	0	97	6	6	0	0	0	0
0	62	2	0	21	3	2	0	0	0	0
0	62	3	5	157	8	1	0	0	0	0
0	63	1	0	135	12	2	0	0	0	0
0	63	2	0	34	2	0	0	0	0	0
0	63	3	7	182	14	1	0	1	0	0
0	64	1	0	117	5	1	0	0	0	0
0	64	2	0	25	3	0	0	0	0	0
0	64	3	3	157	12	1	0	3	0	0
0	65	1	0	105	9	3	0	0	0	0
0	65	2	0	22	3	0	0	0	0	0
0	65	3	6	162	11	4	0	0	1	0
0	66	1	0	89	8	0	0	0	0	0
0	66	2	0	10	1	0	0	0	0	0
0	66	3	5	156	9	2	0	0	0	0
1	55	2	1	73	8	5	0	0	0	0
1	55	3	0	106	25	0	0	0	0	0
1	56	2	1	40	9	4	0	0	0	0
1	56	3	0	111	13	3	0	0	0	0
1	57	2	0	56	3	4	1	0	0	0
1	57	3	0	105	14	2	0	0	0	0
1	58	2	2	55	8	1	1	1	0	0
1	58	3	0	118	15	2	0	0	0	0
1	59	2	2	78	13	6	0	0	0	0
1	59	3	0	100	14	0	0	0	0	0
1	60	2	1	53	8	3	0	0	0	0
1	60	3	0	95	16	2	0	0	0	0
1	61	2	1	74	4	1	0	0	0	0
1	61	3	0	94	12	3	0	0	0	0
1	62	2	1	64	7	3	0	0	0	0
1	62	3	0	120	13	1	1	1	0	0
1	63	2	1	72	6	5	0	0	0	0
1	63	3	0	136	20	0	0	1	0	0
1	64	2	0	71	5	1	1	0	0	0
1	64	3	0	122	7	1	0	0	0	0
1	65	2	1	70	9	7	0	0	0	0
1	65	3	0	147	16	1	0	0	0	0
1	66	2	0	61	6	3	0	0	0	0
1	66	3	0	118	14	2	0	0	0	0
2	55	2	0	15	2	1	0	0	0	0
2	55	3	0	1	0	0	0	0	1	0
2	56	2	0	16	3	0	0	0	1	0
2	56	3	0	1	0	0	0	0	0	0
2	57	2	0	14	2	0	0	0	0	0
2	57	3	0	1	0	0	0	0	0	0
2	58	2	0	24	2	0	0	1	0	0
2	58	3	0	1	0	0	0	0	0	0
2	59	2	0	19	0	2	0	0	0	0
2	59	3	0	1	0	0	0	0	0	0
2	60	2	0	23	1	0	0	0	0	0
2	60	3	0	2	0	0	0	0	0	0
2	61	2	0	40	2	0	0	0	0	0
2	61	3	0	2	0	0	0	0	0	0
2	62	2	0	23	1	1	0	0	0	0
2	62	3	0	1	0	0	0	0	0	0
2	63	2	0	19	2	0	0	0	0	0
2	63	3	0	1	0	0	0	0	0	0
2	64	2	0	19	1	0	0	0	0	0
2	64	3	0	1	0	0	0	0	0	0
2	65	2	0	38	2	1	0	0	0	0
2	65	3	0	4	1	0	0	0	0	0
2	66	2	0	24	1	0	0	0	0	0
2	66	3	0	2	0	0	0	0	0	0
3	55	1	4	205	10	0	1	0	0	0
3	55	2	1	42	6	2	1	1	0	0
3	55	3	0	8	1	0	0	1	0	0
3	56	1	4	203	17	0	0	0	1	0
3	56	2	1	52	2	0	1	0	0	0
3	56	3	0	1	0	0	0	0	0	0
3	57	1	1	155	15	4	0	0	1	0
3	57	2	0	61	7	3	0	1	0	0
3	57	3	0	4	1	0	0	0	0	0
3	58	1	3	188	16	4	0	2	2	0
3	58	2	1	59	6	1	0	2	0	0
3	58	3	0	5	0	0	0	0	0	0
3	59	1	4	195	27	2	0	0	2	0
3	59	2	0	65	5	2	1	0	0	0
3	59	3	0	8	1	0	0	0	0	0
3	60	1	6	195	16	1	0	1	0	0
3	60	2	2	66	3	2	0	0	0	0
3	60	3	0	3	1	0	0	0	0	0
3	61	1	5	208	19	3	0	0	1	0
3	61	2	0	104	5	1	1	0	0	0
3	61	3	0	7	0	0	0	0	0	0
3	62	1	4	242	19	3	1	0	0	0
3	62	2	1	90	7	2	2	0	0	0
3	62	3	0	8	0	0	0	0	0	0
3	63	1	4	263	28	1	0	0	0	0
3	63	2	3	107	13	3	1	0	0	0
3	63	3	1	5	2	0	0	0	0	0
3	64	1	4	193	6	3	0	0	0	0
3	64	2	2	63	8	0	0	0	0	0
3	64	3	0	5	0	0	0	0	0	0
3	65	1	6	215	17	0	0	0	0	0
3	65	2	0	87	6	1	1	0	0	0
3	65	3	0	6	0	0	0	0	0	0
3	66	1	6	189	12	2	0	0	0	0
3	66	2	2	48	6	0	0	0	0	0
3	66	3	0	8	0	1	0	0	0	0
