	Nowohucka - Powstancow Wielkopolskich Junction, 56 P-13 - 127									

0	Plaszowska - 127128, 128127									

1	Powstancow Wielkopolskich - 127103, 103127									

2	Klimeckiego - 127113, 113127									

3	Nowohucka - 127126, 126127									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	65	14	0	0	0	0	0
0	55	2	1	45	7	0	0	0	0	0
0	55	3	1	13	0	0	0	0	0	0
0	56	1	0	76	16	0	0	0	0	0
0	56	2	2	56	4	0	0	0	0	0
0	56	3	1	12	1	0	0	0	0	0
0	57	1	1	60	12	1	0	0	0	0
0	57	2	1	44	2	0	0	0	0	0
0	57	3	1	8	1	0	0	0	0	0
0	58	1	0	81	10	0	0	1	0	0
0	58	2	1	44	3	1	0	0	0	0
0	58	3	1	8	1	0	0	0	0	0
0	59	1	0	69	13	0	0	0	0	0
0	59	2	1	36	4	0	0	0	0	0
0	59	3	2	4	1	0	0	0	0	0
0	60	1	0	67	10	0	0	0	0	0
0	60	2	1	26	3	0	0	0	1	0
0	60	3	0	1	0	0	0	0	0	0
0	61	1	0	76	9	0	0	0	0	0
0	61	2	2	39	3	0	0	0	0	0
0	61	3	2	6	2	0	0	0	0	0
0	62	1	1	63	9	0	2	0	0	0
0	62	2	1	23	7	0	0	0	0	0
0	62	3	0	2	0	0	0	0	0	0
0	63	1	0	82	8	0	1	0	1	0
0	63	2	2	44	1	0	0	0	0	0
0	63	3	1	9	0	0	0	0	0	0
0	64	1	0	62	7	0	0	0	0	0
0	64	2	1	27	1	0	0	0	0	0
0	64	3	1	2	1	0	0	0	0	0
0	65	1	2	70	9	0	0	0	0	0
0	65	2	1	32	2	0	0	0	0	0
0	65	3	1	4	0	0	0	0	0	0
0	66	1	0	60	4	0	0	0	1	0
0	66	2	1	23	1	0	0	0	0	0
0	66	3	1	3	1	0	0	0	0	0
1	55	1	1	40	8	3	0	0	0	0
1	55	2	4	125	21	14	5	0	0	0
1	55	3	0	28	3	0	0	0	0	0
1	56	1	0	83	4	1	0	0	0	0
1	56	2	5	195	26	13	7	1	0	0
1	56	3	1	22	4	0	0	0	0	0
1	57	1	0	80	14	8	0	1	0	0
1	57	2	4	157	18	19	11	1	0	0
1	57	3	0	17	0	0	0	0	0	0
1	58	1	0	71	32	4	0	0	0	0
1	58	2	4	152	24	8	12	2	0	0
1	58	3	0	17	7	0	0	1	0	0
1	59	1	1	67	17	4	0	0	0	0
1	59	2	4	148	28	8	8	1	0	0
1	59	3	1	19	6	0	0	0	0	0
1	60	1	1	53	11	3	0	0	0	0
1	60	2	7	204	25	11	18	0	0	0
1	60	3	1	19	2	0	0	0	0	0
1	61	1	0	87	10	1	2	0	0	0
1	61	2	4	132	15	10	8	2	0	0
1	61	3	0	34	11	0	0	0	0	0
1	62	1	0	65	6	2	0	1	0	0
1	62	2	3	156	14	7	14	0	1	0
1	62	3	0	13	1	1	0	0	0	0
1	63	1	0	65	15	4	0	1	0	0
1	63	2	6	184	17	6	8	0	0	0
1	63	3	1	20	2	0	0	1	0	0
1	64	1	0	78	9	0	0	0	0	0
1	64	2	3	203	16	7	7	0	0	0
1	64	3	0	25	1	0	0	0	0	0
1	65	1	0	57	7	2	0	0	0	0
1	65	2	2	167	22	13	9	0	0	0
1	65	3	0	21	1	0	0	0	0	0
1	66	1	0	51	7	3	1	1	0	0
1	66	2	2	161	10	10	5	0	0	0
1	66	3	0	11	4	0	0	0	0	0
2	55	1	0	34	8	4	0	0	0	0
2	55	2	3	63	13	1	0	1	0	0
2	55	3	2	130	14	2	0	0	0	0
2	56	1	0	29	6	1	1	0	0	0
2	56	2	1	73	10	0	0	0	0	0
2	56	3	0	93	14	3	0	0	0	0
2	57	1	0	50	11	4	3	0	0	0
2	57	2	1	59	15	1	0	0	1	0
2	57	3	0	120	5	3	0	1	0	0
2	58	1	0	43	13	5	1	0	0	0
2	58	2	1	78	5	0	0	0	0	0
2	58	3	0	80	7	1	0	0	0	0
2	59	1	0	38	12	1	1	0	0	0
2	59	2	1	68	11	0	0	0	0	0
2	59	3	0	115	6	1	0	0	0	0
2	60	1	0	41	14	3	1	0	0	0
2	60	2	2	67	6	0	0	0	0	0
2	60	3	0	120	8	3	0	3	0	0
2	61	1	0	32	10	4	2	0	0	0
2	61	2	1	57	13	0	0	0	0	0
2	61	3	0	104	7	2	0	0	0	0
2	62	1	0	34	10	3	1	0	0	0
2	62	2	2	70	8	0	0	0	0	0
2	62	3	2	150	15	0	0	0	0	0
2	63	1	0	44	15	3	2	0	0	0
2	63	2	1	65	8	0	0	0	0	0
2	63	3	0	140	1	4	0	0	0	0
2	64	1	0	23	8	4	2	0	0	0
2	64	2	1	63	5	0	0	0	0	0
2	64	3	1	118	11	3	0	0	0	0
2	65	1	0	43	5	4	3	0	0	0
2	65	2	1	56	9	0	0	0	0	0
2	65	3	1	94	9	0	0	0	0	0
2	66	1	0	53	11	2	2	0	0	0
2	66	2	1	64	6	0	0	1	0	0
2	66	3	0	180	2	0	0	0	0	0
3	55	1	0	0	0	1	0	0	0	0
3	55	2	5	184	27	12	0	0	1	0
3	55	3	0	35	16	2	0	0	0	0
3	56	1	1	4	1	0	0	0	0	0
3	56	2	6	197	36	17	1	0	1	0
3	56	3	0	31	6	2	1	0	0	0
3	57	1	1	2	1	1	0	0	0	0
