	Okulickiego - Andersa Junction, 48 H-15 - 160

1	Okulickiego Bora Komorowskiego - 160159, 159160

2	Okulickiego Kupaly - 160162, 162160

3	Andersa - 160163, 163160


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	101	20	15	0	0	0	0
1	55	2	5	109	10	1	0	0	0	0
1	56	1	1	69	23	21	1	0	0	0
1	56	2	5	121	14	0	2	0	0	0
1	57	1	3	70	25	15	0	0	0	0
1	57	2	4	174	7	2	0	0	0	0
1	58	1	2	83	18	9	0	0	0	0
1	58	2	3	182	6	0	0	0	0	0
1	59	1	1	100	23	10	0	0	0	0
1	59	2	4	169	4	2	0	0	0	0
1	60	1	2	63	18	12	0	0	0	0
1	60	2	4	212	5	0	1	0	2	0
1	61	1	2	95	11	12	0	0	0	0
1	61	2	4	173	5	0	2	0	0	0
1	62	1	3	80	21	9	1	0	0	0
1	62	2	4	171	6	1	0	2	0	0
1	63	1	0	90	15	10	2	0	0	0
1	63	2	4	183	6	0	1	2	0	0
1	64	1	1	95	18	17	1	0	0	0
1	64	2	4	186	4	0	2	0	0	0
1	65	1	2	80	12	12	0	0	0	0
1	65	2	3	182	3	0	2	0	0	0
1	66	1	0	93	17	13	0	0	0	0
1	66	2	4	168	4	1	0	1	0	0
2	55	1	0	24	2	0	0	0	0	0
2	55	3	3	60	10	6	5	0	0	0
2	56	1	0	23	2	0	0	0	0	0
2	56	3	2	65	12	8	8	0	0	0
2	57	1	0	20	1	0	0	0	0	0
2	57	3	4	58	5	4	3	0	0	0
2	58	1	0	21	1	1	0	0	0	0
2	58	3	5	55	3	4	3	0	0	0
2	59	1	0	18	3	0	0	0	0	0
2	59	3	4	52	3	3	3	0	0	0
2	60	1	0	21	2	1	0	0	0	0
2	60	3	4	51	5	3	4	0	0	0
2	61	1	0	19	2	0	0	0	0	0
2	61	3	5	54	10	4	3	0	0	0
2	62	1	0	14	1	1	0	0	0	0
2	62	3	4	51	12	3	3	0	1	0
2	63	1	0	10	0	0	0	0	0	0
2	63	3	5	60	10	2	4	0	0	0
2	64	1	0	14	3	0	0	0	0	0
2	64	3	4	58	12	4	9	0	0	0
2	65	1	0	16	2	2	0	0	0	0
2	65	3	4	62	4	3	5	0	0	0
2	66	1	0	15	3	2	0	0	0	0
2	66	3	5	63	7	6	0	0	0	0
3	55	2	12	210	29	4	0	0	0	0
3	55	3	0	29	7	0	0	0	0	0
3	56	2	6	200	19	5	0	0	0	0
3	56	3	0	20	1	0	0	0	0	0
3	57	2	6	211	19	7	0	0	0	0
3	57	3	0	27	1	1	0	0	0	0
3	58	2	8	220	25	2	0	0	0	0
3	58	3	0	30	3	0	0	0	0	0
3	59	2	11	220	21	4	0	0	0	0
3	59	3	0	45	5	0	0	0	0	0
3	60	2	7	210	19	4	0	0	0	0
3	60	3	0	30	1	0	0	0	0	0
3	61	2	12	214	15	2	0	0	0	0
3	61	3	0	35	3	1	0	0	0	0
3	62	2	6	240	13	5	0	1	0	0
3	62	3	0	28	3	0	0	0	0	0
3	63	2	8	250	18	6	1	2	0	0
3	63	3	0	30	5	0	0	0	0	0
3	64	2	12	260	25	0	4	1	0	0
3	64	3	0	35	2	0	0	0	0	0
3	65	2	7	290	15	6	0	1	0	0
3	65	3	0	25	5	0	0	0	0	0
3	66	2	7	266	10	2	0	0	0	0
3	66	3	0	31	5	0	0	0	0	0
