	Opolska - Mackiewicza Junction, 23 K-48 - 25

1	Opolska Pradnicka - 25024, 24025

2	Mackiewicza - 25026, 26025

3	Opolska Grazyny - 25027, 27025


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	1	32	12	0	0	0	0	0
1	55	2	6	296	27	23	0	0	3	0
1	56	1	3	49	2	1	0	0	0	0
1	56	2	9	314	32	39	3	0	1	0
1	57	1	3	51	11	7	0	0	0	0
1	57	2	10	360	43	48	11	0	0	0
1	58	1	4	57	10	1	0	0	0	0
1	58	2	8	381	40	41	7	0	0	0
1	59	1	3	71	13	2	0	0	0	0
1	59	2	12	410	44	45	6	0	0	0
1	60	1	1	61	6	2	1	0	0	0
1	60	2	7	397	44	26	6	0	1	0
1	61	1	3	91	13	2	0	1	0	0
1	61	2	10	459	43	33	4	0	0	0
1	62	1	3	66	2	3	0	1	0	0
1	62	2	4	397	42	22	0	2	0	0
1	63	1	4	88	14	0	0	0	0	0
1	63	2	9	452	63	24	2	0	4	0
1	64	1	2	92	11	3	0	0	0	0
1	64	2	7	460	51	21	6	0	1	0
1	65	1	4	107	13	3	1	2	0	0
1	65	2	9	375	53	18	11	1	0	0
1	66	1	3	93	10	1	0	0	0	0
1	66	2	7	372	59	16	6	0	0	0
2	55	1	1	24	3	1	0	0	0	0
2	55	3	1	25	8	0	1	0	0	0
2	56	1	1	31	1	2	0	0	0	0
2	56	3	4	44	7	5	2	0	0	0
2	57	1	1	37	3	3	1	0	0	0
2	57	3	2	45	6	0	0	0	0	0
2	58	1	1	21	5	1	3	1	0	0
2	58	3	2	44	7	1	1	0	2	0
2	59	1	1	36	4	3	1	0	0	0
2	59	3	3	48	11	2	1	0	0	0
2	60	1	2	29	8	2	0	0	1	0
2	60	3	3	44	7	3	0	0	0	0
2	61	1	2	46	11	3	0	0	0	0
2	61	3	3	54	8	1	0	0	0	0
2	62	1	2	46	4	3	0	0	0	0
2	62	3	3	50	9	3	0	0	0	0
2	63	1	1	36	1	2	0	0	0	0
2	63	3	2	64	8	1	0	0	0	0
2	64	1	1	33	4	3	0	0	0	0
2	64	3	3	45	12	0	0	0	0	0
2	65	1	1	39	8	2	0	0	0	0
2	65	3	2	50	7	0	2	0	0	0
2	66	1	1	41	5	1	0	1	0	0
2	66	3	3	53	8	2	0	0	0	0
3	55	2	5	305	31	16	9	1	1	0
3	55	3	1	19	3	1	0	0	0	0
3	56	2	8	306	37	10	25	0	0	0
3	56	3	6	17	3	1	0	0	0	0
3	57	2	8	393	39	12	35	0	1	0
3	57	3	1	23	4	4	1	0	0	0
3	58	2	5	383	32	15	29	1	2	0
3	58	3	1	17	2	2	0	0	0	0
3	59	2	5	324	21	16	29	0	1	0
3	59	3	2	25	4	1	0	0	0	0
3	60	2	7	310	38	14	27	0	1	0
3	60	3	2	22	2	3	1	0	0	0
3	61	2	8	393	41	15	28	1	0	0
3	61	3	1	25	3	2	0	0	2	0
3	62	2	7	374	39	17	20	0	2	0
3	62	3	1	22	5	2	0	0	1	0
3	63	2	9	375	37	18	26	0	4	0
3	63	3	1	30	4	2	0	0	1	0
3	64	2	6	380	39	20	20	2	2	0
3	64	3	2	25	3	3	2	1	0	0
3	65	2	7	381	36	21	29	0	1	0
3	65	3	1	32	4	2	1	0	1	0
3	66	2	10	394	40	17	32	2	3	0
3	66	3	1	25	2	1	0	0	1	0
