	"Piastowska - Reymonta Junction, 6 K-17 - 12"									

0	"Piastowska - 12017, 17012"									

1	"Buszka - 12013, 13012"									

2	"Piastowska Nawojki - 12011, 11012"									

3	"Reymonta - 12039, 39012"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart 
0	55	1	0	1	0	0	0	0	0	0
0	55	2	3	68	5	0	0	1	0	0
0	55	3	3	23	5	1	0	0	0	0
0	56	1	0	0	1	0	0	0	0	0
0	56	2	2	89	7	2	0	2	2	0
0	56	3	2	23	8	0	0	0	0	0
0	57	1	0	2	1	0	0	0	0	0
0	57	2	1	82	2	1	0	1	0	0
0	57	3	2	24	4	3	0	1	0	0
0	58	1	0	1	0	0	0	0	0	0
0	58	2	3	75	3	3	0	1	0	0
0	58	3	0	70	9	0	1	0	1	0
0	59	1	0	2	0	0	0	0	0	0
0	59	2	2	87	2	2	0	0	1	0
0	59	3	1	42	23	2	0	0	0	0
0	60	1	0	0	1	0	0	0	0	0
0	60	2	2	82	5	3	0	0	0	0
0	60	3	0	58	5	3	0	0	0	0
0	61	1	0	2	1	0	0	0	0	0
0	61	2	2	64	4	3	0	0	0	0
0	61	3	0	45	9	2	0	0	0	0
0	62	1	0	2	0	0	0	0	0	0
0	62	2	3	72	2	1	0	0	0	0
0	62	3	0	50	7	3	0	2	1	0
0	63	1	0	1	0	0	0	0	0	0
0	63	2	1	70	3	2	1	0	1	0
0	63	3	0	52	6	1	0	1	0	0
0	64	1	0	1	1	0	0	0	0	0
0	64	2	2	82	4	3	0	0	0	0
0	64	3	3	45	4	1	0	0	1	0
0	65	1	0	2	0	0	0	0	0	0
0	65	2	1	85	4	2	1	1	0	0
0	65	3	1	45	3	3	0	1	0	0
0	66	1	0	1	0	0	0	0	0	0
0	66	2	3	81	7	2	2	0	0	0
0	66	3	0	45	6	2	0	0	0	0
1	55	1	0	4	0	0	0	0	0	0
1	55	2	0	6	0	0	0	0	0	0
1	55	3	0	4	0	0	0	0	2	0
1	56	1	0	3	0	0	0	0	1	0
1	56	2	0	8	1	0	0	0	0	0
1	56	3	0	0	0	0	0	0	2	0
1	57	1	0	4	0	0	0	0	0	0
1	57	2	0	3	0	0	0	0	0	0
1	57	3	0	3	0	0	0	0	0	0
1	58	1	0	7	0	0	0	0	0	0
1	58	2	0	4	0	0	0	0	0	0
1	58	3	0	6	0	0	0	0	2	0
1	59	1	0	4	0	0	0	0	0	0
1	59	2	0	9	0	0	0	0	0	0
1	59	3	0	5	0	0	0	0	0	0
1	60	1	0	12	0	0	0	0	0	0
1	60	2	0	8	0	0	0	0	0	0
1	60	3	0	3	0	0	0	0	2	0
1	61	1	0	1	0	0	0	0	0	0
1	61	2	0	2	0	0	0	0	0	0
1	61	3	0	4	0	0	0	1	2	0
1	62	1	0	4	0	0	0	0	0	0
1	62	2	0	6	0	0	0	0	0	0
1	62	3	0	3	0	0	0	0	1	0
1	63	1	0	6	0	0	0	0	0	0
1	63	2	0	6	0	0	0	0	0	0
1	63	3	0	6	0	0	0	0	0	0
1	64	1	0	4	0	0	0	0	1	0
1	64	2	0	10	0	0	0	0	0	0
1	64	3	0	3	0	0	0	0	3	0
1	65	1	0	2	0	0	0	1	0	0
1	65	2	0	4	0	0	0	0	1	0
1	65	3	0	4	0	0	0	0	3	0
1	66	1	0	1	0	0	0	0	0	0
1	66	2	0	9	0	0	0	1	1	0
1	66	3	0	2	0	0	0	0	2	0
2	55	1	1	50	9	2	2	1	0	0
2	55	2	1	181	15	5	2	1	2	0
2	55	3	0	4	0	0	0	0	0	0
2	56	1	2	52	8	2	0	0	0	0
2	56	2	1	181	7	3	1	1	0	0
2	56	3	0	3	0	0	0	0	0	0
2	57	1	2	47	5	1	1	2	0	0
2	57	2	3	228	18	6	3	0	0	0
2	57	3	0	8	0	0	0	0	0	0
2	58	1	0	60	7	0	1	0	0	0
2	58	2	1	199	12	3	1	1	2	0
2	58	3	0	3	0	0	0	0	0	0
2	59	1	0	33	7	4	5	0	0	0
2	59	2	1	164	10	3	4	1	3	0
2	59	3	0	2	1	0	0	0	0	0
2	60	1	0	65	2	0	0	0	0	0
2	60	2	1	197	15	5	2	1	2	0
2	60	3	0	5	0	0	0	0	0	0
2	61	1	0	56	8	1	0	1	0	0
2	61	2	1	217	13	1	2	0	0	0
2	61	3	0	2	0	0	0	0	0	0
2	62	1	0	40	13	3	0	0	1	0
2	62	2	0	171	10	3	0	0	1	0
2	62	3	0	6	0	0	0	0	0	0
2	63	1	1	45	4	0	0	1	0	0
2	63	2	1	125	15	5	2	1	4	0
2	63	3	0	2	0	0	0	0	0	0
2	64	1	1	65	17	4	3	1	2	0
2	64	2	0	170	22	8	2	2	5	0
2	64	3	0	5	0	0	0	0	0	0
2	65	1	0	42	16	6	2	1	0	0
2	65	2	2	172	23	2	5	0	0	0
2	65	3	0	4	0	0	0	0	0	0
2	66	1	1	42	16	3	6	2	0	0
2	66	2	2	168	19	11	2	1	6	0
2	66	3	0	5	0	0	0	0	0	0
3	55	1	0	33	3	0	0	0	0	0
3	55	2	0	5	0	0	0	0	0	0
3	55	3	0	91	8	0	0	0	0	0
3	56	1	0	31	1	0	0	0	0	0
3	56	2	0	3	2	0	0	0	0	0
3	56	3	1	103	9	0	0	2	0	0
3	57	1	0	29	5	0	0	0	0	0
3	57	2	0	3	0	0	0	0	0	0
3	57	3	0	85	7	0	0	0	0	0
3	58	1	0	32	2	0	0	1	1	0
3	58	2	0	2	0	0	0	0	2	0
3	58	3	0	69	10	0	0	0	1	0
3	59	1	0	27	2	0	0	1	0	0
3	59	2	0	8	0	0	0	1	1	0
3	59	3	0	106	9	0	0	0	0	0
3	60	1	0	21	1	0	0	0	0	0
3	60	2	0	4	0	0	0	0	0	0
3	60	3	0	84	11	0	0	0	0	0
3	61	1	0	41	8	0	0	1	0	0
3	61	2	0	6	0	0	0	0	0	0
3	61	3	0	62	12	0	0	0	0	0
3	62	1	0	37	6	0	0	1	0	0
3	62	2	0	5	0	0	0	0	0	0
3	62	3	0	88	4	0	0	0	0	0
3	63	1	0	25	0	0	0	0	0	0
3	63	2	0	11	0	0	0	0	0	0
