	"Podgorska - Krakowska Junction, S43-04.INT - 104"									

0	"Pilsudskiego Most - 104101, 101104"									

1	"Rybaki - 104105, 105104"									

2	"Krakowska - 104107, 107104"									

3	"Podgorska - 104106, 106104"									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	1	0	0	0	1	1	0
0	55	2	1	79	14	0	0	0	2	0
0	55	3	0	37	6	0	0	0	0	0
0	56	1	0	2	0	0	0	0	1	0
0	56	2	1	90	15	0	0	0	4	0
0	56	3	0	31	0	0	0	0	0	0
0	57	1	0	1	0	0	0	0	1	0
0	57	2	2	96	15	0	0	1	4	0
0	57	3	0	28	8	0	0	0	0	0
0	58	1	0	4	0	0	0	0	6	0
0	58	2	1	110	23	0	0	1	4	0
0	58	3	0	30	8	0	0	0	2	0
0	59	1	0	1	0	0	0	0	3	0
0	59	2	1	125	8	0	0	0	1	0
0	59	3	0	35	7	0	0	0	0	0
0	60	1	0	2	0	0	0	0	0	0
0	60	2	0	119	12	0	0	0	3	0
0	60	3	0	30	6	0	0	0	0	0
0	61	1	0	5	0	0	0	0	1	0
0	61	2	0	129	22	3	0	0	5	0
0	61	3	0	35	5	0	0	0	1	0
0	62	1	0	2	0	0	0	0	2	0
0	62	2	1	10	2	0	0	0	0	0
0	62	3	0	62	0	0	0	0	0	0
0	63	1	0	0	0	0	0	1	2	0
0	63	2	2	110	50	2	0	0	3	0
0	63	3	0	70	10	0	0	0	5	0
0	64	1	0	1	0	0	0	0	2	0
0	64	2	2	129	23	1	0	0	4	0
0	64	3	0	33	0	0	0	0	3	0
0	65	1	0	3	0	0	0	0	1	0
0	65	2	1	85	20	1	0	0	1	0
0	65	3	0	22	1	0	0	0	0	0
0	66	1	0	1	0	0	0	0	2	0
0	66	2	0	95	8	1	0	0	1	0
0	66	3	0	16	10	0	0	0	0	0
1	55	1	0	12	2	0	0	1	0	0
1	55	2	0	6	2	0	0	0	0	0
1	55	3	1	13	0	0	0	0	3	0
1	56	1	1	6	0	0	0	0	0	0
1	56	2	0	13	0	0	0	0	0	0
1	56	3	0	15	1	0	0	0	1	0
1	57	1	0	8	1	0	0	0	0	0
1	57	2	0	7	1	0	0	0	0	0
1	57	3	0	12	2	0	0	1	1	0
1	58	1	0	16	1	0	0	0	1	0
1	58	2	0	8	0	0	0	0	0	0
1	58	3	0	13	1	0	0	0	1	0
1	59	1	0	8	0	0	0	0	0	0
1	59	2	0	5	0	0	0	0	4	0
1	59	3	0	11	2	0	0	0	3	0
1	60	1	0	8	0	0	0	0	0	0
1	60	2	0	8	0	0	0	0	0	0
1	60	3	0	14	0	0	0	0	1	0
1	61	1	0	6	3	0	0	0	0	0
1	61	2	0	3	0	0	0	0	1	0
1	61	3	0	16	1	0	0	0	3	0
1	62	1	0	7	1	0	0	1	2	0
1	62	2	0	3	0	0	0	0	0	0
1	62	3	0	13	5	0	0	0	3	0
