	Pokoju - Ofiar Dabia Junction, 37 S-84, 37 S-84a, 37 S-84b - 125

0	Ofiar Dabia - 125126, 126125

1	Pokoju Grzegorzecka - 125114, 114125

2	Zwyciestwa - 125184, 184125

3	Pokoju Nowohucka - 125146, 146125


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	2	62	8	5	0	0	0	0
0	55	2	0	43	10	0	0	0	0	0
0	55	3	0	20	3	0	1	0	0	0
0	56	1	1	69	16	4	0	0	0	0
0	56	2	0	37	10	0	0	0	0	0
0	56	3	0	15	10	1	0	0	0	0
0	57	1	2	76	12	1	1	0	0	0
0	57	2	0	43	10	0	0	0	0	0
0	57	3	0	24	3	0	0	1	0	0
0	58	1	1	68	12	5	0	0	0	0
0	58	2	0	30	8	0	0	0	0	0
0	58	3	0	21	3	0	1	0	0	0
0	59	1	2	70	12	1	1	0	0	0
0	59	2	0	18	12	0	0	0	0	0
0	59	3	0	36	4	0	0	0	0	0
0	60	1	2	73	12	5	1	0	0	0
0	60	2	0	51	11	0	0	0	0	0
0	60	3	0	34	6	1	0	0	0	0
0	61	1	2	74	17	4	1	0	0	0
0	61	2	0	48	9	0	0	0	0	0
0	61	3	0	17	2	1	0	0	0	0
0	62	1	1	78	13	2	0	0	1	0
0	62	2	0	51	7	0	0	0	0	0
0	62	3	1	28	12	0	0	0	0	0
0	63	1	2	72	14	4	1	0	0	0
0	63	2	0	43	6	0	0	0	0	0
0	63	3	0	26	4	1	1	0	0	0
0	64	1	1	107	14	6	0	0	0	0
0	64	2	0	58	9	0	0	0	0	0
0	64	3	0	34	6	1	0	0	0	0
0	65	1	1	92	15	2	0	0	0	0
0	65	2	0	55	6	0	0	0	0	0
0	65	3	0	26	6	0	0	0	0	0
0	66	1	1	86	5	1	0	1	0	0
0	66	2	0	48	4	0	0	0	0	0
0	66	3	0	23	2	1	0	0	0	0
1	55	2	0	172	18	5	3	0	0	0
1	55	3	3	118	30	10	1	0	0	0
1	56	2	1	185	36	5	1	0	1	0
1	56	3	2	150	27	5	2	0	0	0
1	57	2	0	178	31	1	4	2	0	0
1	57	3	1	127	24	6	3	0	0	0
1	58	2	0	186	23	5	0	1	3	0
1	58	3	1	148	19	4	1	0	1	0
1	59	2	0	189	33	5	0	1	0	0
1	59	3	3	183	24	4	0	0	0	0
1	60	2	1	224	18	0	0	2	0	0
1	60	3	3	130	30	2	0	0	1	0
1	61	2	2	213	17	2	1	0	0	0
1	61	3	1	197	19	4	0	0	1	0
1	62	2	0	265	22	4	1	1	0	0
1	62	3	2	167	26	3	0	0	1	0
1	63	2	0	205	22	4	2	2	0	0
1	63	3	2	194	28	4	1	1	0	0
1	64	2	0	235	21	3	0	0	1	0
1	64	3	2	169	27	5	0	1	2	0
1	65	2	1	261	23	2	0	1	0	0
1	65	3	1	185	28	1	0	0	0	0
1	66	2	0	259	19	1	3	0	0	0
1	66	3	2	194	29	2	0	1	1	0
2	55	1	0	30	6	1	0	0	0	0
2	56	1	0	16	2	0	0	0	0	0
2	57	1	0	18	3	0	0	0	0	0
2	58	1	0	17	4	0	0	0	0	0
2	59	1	0	19	4	0	0	0	0	0
2	60	1	0	23	4	0	0	0	0	0
2	61	1	0	18	3	0	0	0	0	0
2	62	1	0	24	3	0	0	0	0	0
2	63	1	0	17	2	0	0	0	0	0
2	64	1	0	17	4	0	0	0	0	0
2	65	1	0	21	3	0	0	0	0	0
2	66	1	0	26	3	0	0	0	0	0
2	55	2	0	121	26	5	0	1	0	0
2	56	2	0	65	10	0	0	1	0	0
2	57	2	0	72	10	0	0	0	0	0
2	58	2	0	67	15	1	0	0	0	0
2	59	2	0	77	14	2	0	0	0	0
2	60	2	0	90	18	1	0	0	0	0
2	61	2	1	74	11	0	0	0	1	0
2	62	2	0	96	12	1	0	0	0	0
2	63	2	0	66	9	2	1	0	0	0
2	64	2	0	69	17	0	0	1	0	0
2	65	2	0	86	12	0	0	2	0	0
