	Polsad	Roundabout, 26 S-63 - 138

0	Mlynska - 138143, 143138

1	Lublanska 29 Listopada - 138136, 136138

2	Lublanska Dobrego Pasterza - 138139, 139138

3	Bora Komorowskiego - 138159, 159138									


order	time	direction	bus	personal	van	truck	truck	+	trailer	motorcycle	bicycle	horse	and	cart
0	55	1	0	82	13	6	0	1	1	0				
0	55	2	5	149	29	0	1	0	0	0				
0	55	3	2	52	10	0	0	0	0	0				
0	56	1	0	104	17	8	0	0	0	0				
0	56	2	6	113	31	3	0	0	0	0
0	56	3	3	73	8	2	0	0	0	0
0	57	1	0	111	20	13	0	0	0	0
0	57	2	7	109	30	8	1	0	1	0
0	57	3	2	75	5	0	0	0	0	0
0	58	1	0	104	9	7	7	1	0	0
0	58	2	7	137	31	7	7	0	0	0
0	58	3	4	55	13	1	1	0	0	0
0	59	1	1	115	16	3	4	0	0	0
0	59	2	7	143	31	5	3	0	1	0
0	59	3	3	71	6	1	0	0	0	0
0	60	1	0	121	12	6	4	0	0	0
0	60	2	6	157	33	7	4	0	0	0
0	60	3	3	65	4	1	0	0	0	0
0	61	1	0	114	14	6	2	0	2	0
0	61	2	6	192	36	2	1	0	0	0
0	61	3	3	95	15	1	0	1	0	0
0	62	1	1	124	12	6	1	0	1	0
0	62	2	6	324	32	3	0	0	0	0
0	62	3	3	87	10	1	2	0	0	0
0	63	1	0	109	7	3	2	0	1	0
0	63	2	6	199	29	3	1	0	0	0
0	63	3	4	87	5	1	1	0	0	0
0	64	1	0	134	7	2	1	0	2	0
0	64	2	9	195	26	4	2	0	0	0
0	64	3	3	69	4	0	1	0	1	0
0	65	1	0	161	13	7	1	0	0	0
0	65	2	8	193	23	1	0	0	0	0
0	65	3	3	86	3	0	0	0	0	0
0	66	1	0	168	10	3	1	0	0	0
0	66	2	4	223	20	2	0	0	0	0
0	66	3	4	60	3	0	0	0	2	0
1	55	1	2	30	3	1	0	0	0	0
1	55	2	4	243	14	19	0	0	0	0
1	55	3	0	87	19	12	0	0	0	0
1	56	1	3	49	6	0	0	0	0	0
1	56	2	4	247	33	25	0	0	0	0
1	56	3	0	92	17	7	0	0	0	0
1	57	1	5	51	7	2	0	0	0	0
1	57	2	4	318	55	30	0	0	3	0
1	57	3	0	135	26	12	1	1	0	0
1	58	1	2	48	6	1	0	0	0	0
1	58	2	1	257	31	20	0	0	0	0
1	58	3	0	82	25	8	1	1	0	0
1	59	1	5	52	6	1	0	0	0	0
1	59	2	6	356	27	20	15	0	0	0
1	59	3	0	96	20	0	2	0	0	0
1	60	1	5	54	9	1	0	0	0	0
1	60	2	5	283	37	8	9	0	0	0
1	60	3	0	108	15	4	0	1	0	0
1	61	1	5	76	3	0	1	0	0	0
1	61	2	2	421	39	8	14	0	0	0
1	61	3	1	125	15	4	3	0	0	0
1	62	1	4	51	4	0	2	0	0	0
1	62	2	1	278	15	9	10	1	3	0
1	62	3	0	0	85	18	3	0	0	0
1	63	1	5	70	6	2	0	0	0	0
1	63	2	2	371	35	9	11	0	0	0
1	63	3	0	124	12	0	2	0	0	0
1	64	1	4	56	4	0	0	0	0	0
1	64	2	1	319	29	5	15	0	0	0
1	64	3	0	104	8	3	1	1	0	0
1	65	1	4	82	1	1	0	0	0	0
1	65	2	2	379	27	6	13	0	0	0
1	65	3	0	104	8	1	0	0	0	0
1	66	1	4	64	5	1	0	0	0	0
1	66	2	1	360	29	3	13	0	1	0
1	66	3	1	126	14	0	0	0	0	0
2	55	1	0	20	5	0	0	0	0	0
2	55	2	3	58	9	0	0	0	0	0
2	55	3	2	17	3	0	0	0	0	0
2	56	1	0	16	4	0	0	0	0	0
2	56	2	7	39	11	0	0	0	0	0
2	56	3	2	10	4	0	0	0	0	0
2	57	1	0	22	5	0	0	0	0	0
2	57	2	8	71	7	0	0	0	0	0
2	57	3	2	7	2	3	0	0	0	0
2	58	1	0	14	4	0	0	0	0	0
2	58	2	7	57	1	0	0	0	0	0
2	58	3	2	11	4	0	0	0	0	0
2	59	1	0	17	1	0	0	0	0	0
2	59	2	6	49	2	1	0	0	0	0
2	59	3	2	11	5	0	0	0	0	0
2	60	1	0	16	1	0	0	0	0	0
2	60	2	7	58	8	0	0	0	0	0
2	60	3	0	9	10	0	0	0	0	0
2	61	1	0	14	3	0	0	0	0	0
2	61	2	7	60	10	0	0	0	0	0
2	61	3	2	15	2	0	0	0	0	0
2	62	1	0	13	4	0	0	0	0	0
2	62	2	7	52	5	0	0	0	0	0
2	62	3	1	12	6	0	0	0	0	0
2	63	1	0	24	2	0	0	0	0	0
2	63	2	8	53	7	1	0	0	0	0
