	Radzikowskiego - Pasternik Junction, K46-04.INT - 3

1	Pasternik - 3002, 2003

2	Ojcowska - 3001, 1003

3	Radzikowskiego - 3005, 5003


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	5	0	0	0	0	0	0
1	55	2	1	218	32	15	22	0	2	0
1	56	1	0	8	4	0	0	0	0	0
1	56	2	2	204	30	21	20	0	0	0
1	57	1	0	10	5	0	0	0	0	0
1	57	2	2	179	38	17	28	0	0	0
1	58	1	0	13	3	0	0	0	0	0
1	58	2	2	150	24	9	14	0	0	0
1	59	1	0	7	3	0	0	0	0	0
1	59	2	1	111	25	11	5	0	1	0
1	60	1	0	13	3	0	0	0	0	0
1	60	2	8	131	41	10	20	1	0	0
1	61	1	0	11	4	0	0	0	0	0
1	61	2	3	213	36	15	15	1	0	0
1	62	1	0	12	1	0	0	0	0	0
1	62	2	7	212	28	18	21	0	1	0
1	63	1	0	13	1	0	0	0	0	0
1	63	2	6	240	26	6	15	0	3	0
1	64	1	0	25	0	0	0	0	1	0
1	64	2	5	223	25	8	23	0	2	0
1	65	1	1	29	4	0	0	0	0	0
1	65	2	4	229	30	14	10	1	1	0
1	66	1	2	20	10	0	0	0	0	0
1	66	2	4	232	25	10	10	1	0	0
2	55	1	1	13	0	1	0	0	0	0
2	55	3	0	12	2	0	0	0	0	0
2	56	1	0	12	1	0	0	0	1	0
2	56	3	0	7	0	0	0	0	0	0
2	57	1	0	8	1	0	0	0	0	0
2	57	3	0	6	0	0	0	0	0	0
2	58	1	1	8	2	0	0	0	0	0
2	58	3	0	8	2	0	0	0	0	0
2	59	1	0	11	2	0	0	0	1	0
2	59	3	0	4	1	0	0	0	0	0
2	60	1	1	7	2	2	0	0	0	0
2	60	3	0	13	2	0	0	0	0	0
2	61	1	0	6	2	0	0	0	0	0
2	61	3	0	14	1	0	0	0	0	0
2	62	1	1	9	1	1	0	0	0	0
2	62	3	0	20	5	0	0	0	0	0
2	63	1	0	5	2	1	1	0	0	0
2	63	3	0	14	2	0	0	0	0	0
2	64	1	1	10	1	0	1	0	0	0
2	64	3	0	10	0	0	0	0	0	0
2	65	1	0	10	0	0	0	0	1	0
2	65	3	0	20	3	0	0	0	0	0
2	66	1	1	7	0	1	0	0	1	0
2	66	3	0	17	2	0	0	0	0	0
3	55	2	5	196	26	12	17	0	0	0
3	55	3	0	10	1	0	0	0	0	0
3	56	2	4	216	28	11	18	0	0	0
3	56	3	0	18	0	0	0	0	0	0
3	57	2	6	213	36	14	20	0	0	0
3	57	3	0	17	3	2	0	0	0	0
3	58	2	3	272	43	20	14	0	0	0
3	58	3	1	18	3	1	0	1	0	0
3	59	2	5	247	35	11	10	0	0	0
3	59	3	1	23	3	0	0	0	0	0
3	60	2	4	239	33	6	18	0	0	0
3	60	3	0	26	2	0	0	0	0	0
3	61	2	2	256	32	11	10	1	0	0
3	61	3	1	21	2	0	1	0	2	0
3	62	2	7	242	33	11	17	0	0	0
3	62	3	0	21	3	2	1	0	0	0
3	63	2	4	265	26	8	9	0	0	0
3	63	3	1	21	3	1	2	0	0	0
3	64	2	3	285	30	12	7	0	0	0
3	64	3	0	18	4	1	0	0	0	0
3	65	2	7	237	41	8	13	0	0	0
3	65	3	1	26	8	0	0	0	0	0
3	66	2	1	254	29	6	12	0	0	0
3	66	3	0	29	2	0	0	0	0	0
