	Skrzyzowanie 29 Listopada - Kuznicy Kollatajowskiej, S94-04.INT									

0	29 Listopada Powstancow									

1	Kuznicy Kollatajowskiej									

2	29 Listopada									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	11	8	1	0	0	0	0
0	55	2	5	104	25	13	5	0	0	0
0	56	1	0	13	6	0	0	0	0	0
0	56	2	6	100	23	5	2	0	0	0
0	57	1	0	19	5	3	0	2	0	0
0	57	2	5	130	23	8	4	0	1	0
0	58	1	0	16	3	0	0	0	0	0
0	58	2	4	132	26	10	0	0	0	0
0	59	1	1	24	6	0	0	0	1	0
0	59	2	9	144	28	12	3	1	1	0
0	60	1	0	20	7	2	0	0	0	0
0	60	2	4	112	21	5	1	1	0	0
0	61	1	0	15	7	3	0	0	0	0
0	61	2	9	120	19	7	0	0	0	0
0	62	1	0	19	5	0	0	0	0	0
0	62	2	7	140	18	10	4	0	1	0
0	63	1	0	23	10	2	0	0	0	0
0	63	2	6	141	26	5	7	4	1	0
0	64	1	1	20	6	1	0	0	0	0
0	64	2	10	96	18	13	2	0	0	0
0	65	1	0	25	8	1	0	0	0	0
0	65	2	4	118	26	12	1	0	0	0
0	66	1	0	23	8	2	0	2	0	0
0	66	2	0	113	35	8	3	0	0	0
1	55	1	0	2	0	1	0	0	0	0
1	55	3	1	17	5	6	0	0	1	0
1	56	1	0	2	0	1	0	0	0	0
1	56	3	0	22	9	1	0	0	0	0
1	57	1	0	6	0	1	0	0	0	0
1	57	3	0	21	4	2	0	0	0	0
1	58	1	0	3	1	2	0	0	0	0
1	58	3	0	17	2	3	0	0	0	0
1	59	1	0	2	0	2	0	0	0	0
1	59	3	1	19	4	0	0	0	0	0
1	60	1	0	6	0	1	0	0	0	0
1	60	3	0	21	2	0	0	0	0	0
1	61	1	0	7	1	0	0	0	0	0
1	61	3	1	21	6	2	0	0	0	0
1	62	1	0	4	0	0	0	0	0	0
1	62	3	1	18	4	1	0	0	0	0
1	63	1	0	2	0	0	0	0	0	0
1	63	3	0	23	3	2	0	0	0	0
1	64	1	0	6	2	0	0	0	0	0
1	64	3	0	26	7	1	0	0	0	0
1	65	1	0	11	2	1	0	0	0	0
1	65	3	1	27	6	2	0	0	2	0
1	66	1	0	7	1	0	0	0	0	0
1	66	3	0	13	5	2	0	0	0	0
2	55	2	2	105	23	3	7	0	0	0
2	55	3	0	4	0	3	0	0	0	0
2	56	2	2	115	26	12	7	0	0	0
2	56	3	0	2	0	0	0	0	0	0
2	57	2	4	104	21	7	1	1	0	0
2	57	3	0	2	1	1	0	0	0	0
2	58	2	0	96	0	24	2	3	0	0
2	58	3	0	1	0	3	0	0	0	0
2	59	2	5	122	21	7	12	0	0	0
2	59	3	0	3	1	1	0	0	0	0
2	60	2	2	89	29	4	4	1	0	0
2	60	3	0	2	0	0	0	0	0	0
2	61	2	6	131	28	8	1	0	2	0
2	61	3	0	2	1	1	0	0	0	0
2	62	2	2	117	22	9	2	0	1	0
2	62	3	0	1	0	2	0	0	0	0
2	63	2	4	138	20	6	3	0	0	0
2	63	3	1	0	0	0	0	0	0	0
2	64	2	3	121	15	4	4	0	0	0
2	64	3	0	1	0	0	0	0	0	0
2	65	2	3	125	25	8	6	0	0	0
2	65	3	0	3	2	1	0	0	0	0
2	66	2	4	108	17	5	6	0	0	0
2	66	3	0	2	5	2	0	0	0	0
