	Skrzyzowanie Basztowa - Dluga, S11-04.INT									

0	Slawkowska									

1	Basztowa Dunajewskiego									

2	Dluga									

3	Basztowa Pawia									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	9	1	0	0	0	0	0
0	55	2	0	3	1	0	0	0	0	0
0	55	3	0	3	0	0	0	0	0	0
0	56	1	0	6	0	0	0	0	0	0
0	56	2	0	6	0	0	0	0	1	0
0	56	3	0	3	0	0	0	0	0	0
0	57	1	0	1	0	0	0	0	0	0
0	57	2	0	5	0	0	0	0	0	0
0	57	3	0	1	0	0	0	0	1	0
0	58	1	0	3	0	0	0	0	2	0
0	58	2	0	6	0	0	0	0	0	0
0	58	3	0	4	0	0	0	0	0	0
0	59	1	0	7	0	0	0	0	0	0
0	59	2	0	4	0	0	0	0	2	0
0	59	3	0	4	1	0	0	0	0	0
0	60	1	0	5	0	0	0	0	0	0
0	60	2	0	7	0	0	0	0	1	0
0	60	3	0	1	0	0	0	0	0	0
0	61	1	0	10	0	0	0	0	0	0
0	61	2	0	6	0	0	0	0	1	0
0	61	3	0	1	0	0	0	0	0	0
0	62	1	0	4	1	0	0	0	2	0
0	62	2	0	9	0	0	0	0	3	0
0	62	3	0	1	0	0	0	0	0	0
0	63	1	0	4	0	0	0	0	0	0
0	63	2	0	6	0	0	0	0	2	0
0	63	3	0	2	0	0	0	0	1	0
0	64	1	0	6	0	0	0	0	0	0
0	64	2	0	3	0	0	0	0	0	0
0	65	1	0	7	1	0	0	0	0	0
0	65	2	0	6	0	0	0	0	1	0
0	65	3	0	2	1	0	0	0	0	0
0	66	1	0	13	0	0	0	0	0	0
0	66	2	0	8	0	0	0	0	0	0
0	66	3	0	1	1	0	0	0	0	0
1	55	2	5	29	16	0	0	0	0	0
1	55	3	0	30	1	0	0	0	0	0
1	56	2	4	48	4	0	0	0	0	0
1	56	3	0	30	3	0	0	0	0	0
1	57	2	5	50	7	0	0	0	0	0
1	57	3	0	33	5	0	0	0	0	0
1	58	2	4	40	8	1	0	0	0	0
1	58	3	0	21	6	0	0	0	0	0
1	59	2	4	48	6	0	0	0	1	0
1	59	3	0	15	2	0	0	0	0	0
1	60	2	4	53	8	1	0	0	0	0
1	60	3	0	23	2	0	0	0	0	0
1	61	2	5	38	4	0	0	0	0	0
1	61	3	0	22	2	0	0	0	0	0
1	62	2	5	53	9	1	0	0	0	0
1	62	3	0	29	1	0	0	0	0	0
1	63	2	6	47	8	0	0	0	0	0
1	63	3	0	27	6	0	0	0	0	0
1	64	2	3	42	7	0	0	0	1	0
1	64	3	0	22	2	0	0	0	0	0
1	65	2	4	67	8	0	0	0	0	0
1	65	3	0	28	7	0	0	0	0	0
1	66	2	5	72	12	0	0	0	0	0
1	66	3	0	37	6	0	0	0	0	0
2	55	1	0	9	1	0	0	0	0	0
2	55	2	0	17	1	0	0	0	1	0
2	55	3	0	16	0	0	0	0	0	0
2	56	1	0	7	0	0	0	0	0	0
2	56	2	0	24	1	0	0	0	0	0
2	56	3	0	10	0	0	0	0	0	0
2	57	1	0	9	1	0	0	0	0	0
2	57	2	0	12	3	0	0	0	3	0
2	57	3	0	14	1	0	0	0	0	0
2	58	1	0	8	0	0	0	0	0	0
2	58	2	0	22	0	0	0	0	3	0
2	58	3	0	16	1	1	0	0	0	0
2	59	1	0	11	0	0	0	0	0	0
2	59	2	0	17	1	1	0	0	1	0
2	59	3	0	15	0	0	0	0	0	0
2	60	1	0	5	0	0	0	0	0	0
2	60	2	0	17	1	0	0	1	4	0
2	60	3	0	10	1	0	0	0	0	0
2	61	1	0	4	0	0	0	0	1	0
2	61	2	0	16	0	0	0	0	4	0
2	61	3	0	8	1	0	0	0	1	0
2	62	1	0	9	0	0	0	0	0	0
2	62	2	0	20	1	0	0	0	2	0
2	62	3	0	17	0	0	0	0	0	0
2	63	1	0	11	0	0	0	0	0	0
2	63	2	0	22	0	0	0	0	1	1
