	Skrzyzowanie Bitwy Nad Bzura - Sosnowskiego, H26B-04.INT									

1	Bitwy nad Bzura									

2	Bitwy nad Bzura Piasta Kolodzieja									

3	Sosnkowskiego									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	59	2	0	13	2	1	0	0	0	0
1	60	2	0	12	3	0	0	0	0	0
1	61	2	0	14	1	0	0	0	0	0
1	62	1	0	1	0	0	0	0	0	0
1	62	2	0	11	0	0	0	0	0	0
1	63	1	0	2	0	0	0	0	0	0
1	63	2	0	17	2	0	0	0	0	0
1	64	1	0	1	0	0	0	0	0	0
1	64	2	0	15	0	0	0	0	0	0
2	59	1	0	19	1	0	0	0	0	0
2	59	3	0	1	0	0	0	0	0	0
2	60	1	0	20	2	1	0	0	0	0
2	61	1	0	12	1	0	0	0	0	0
2	62	1	0	14	2	0	0	0	1	0
2	63	1	0	22	2	0	0	0	1	0
2	63	3	0	2	0	0	0	0	0	0
2	64	1	0	30	3	0	0	0	0	0
3	59	2	0	17	1	0	0	0	0	0
3	59	3	0	27	1	0	0	0	1	0
3	60	2	0	12	0	0	0	0	0	0
3	60	3	0	25	0	0	0	0	0	0
3	61	2	0	16	0	0	0	0	0	0
3	61	3	0	33	1	1	0	0	1	0
3	62	2	0	14	2	0	0	0	0	0
3	62	3	0	15	4	0	0	0	1	0
3	63	2	0	28	2	0	0	0	0	0
3	63	3	0	27	2	0	0	0	0	0
3	64	2	0	14	2	0	0	0	0	0
3	64	3	0	25	2	0	0	0	0	0
