	Skrzyzowanie Dietla - Wielopole, S34-04.INT									

1	Dietla Starowislna									

2	Wielopole									

3	Dietla Grzegorzecka									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	2	104	23	0	3	0	3	0
1	55	2	2	154	19	2	0	0	4	0
1	56	1	2	106	22	0	0	0	2	0
1	56	2	2	228	34	3	0	0	2	0
1	57	1	0	81	19	0	0	0	0	0
1	57	2	1	177	11	0	0	0	1	0
1	58	1	3	82	29	0	0	0	1	0
1	58	2	4	179	16	4	0	1	0	0
1	59	1	3	98	17	1	0	1	1	0
1	59	2	4	234	20	3	0	1	1	0
1	60	1	3	101	22	1	0	0	1	0
1	60	2	2	197	17	5	0	0	1	0
1	61	1	1	112	21	1	0	0	1	0
1	61	2	2	267	19	2	0	0	0	0
1	62	1	3	111	20	3	0	0	0	0
1	62	2	3	215	12	0	0	0	3	0
1	63	1	2	129	23	1	0	0	3	0
1	63	2	4	300	23	1	0	0	2	0
1	64	1	3	108	20	1	0	0	0	0
1	64	2	1	247	19	1	0	1	1	0
1	65	1	2	158	33	0	0	1	0	0
1	65	2	5	245	15	3	0	2	3	0
1	66	1	2	100	9	1	0	1	3	0
1	66	2	3	241	12	5	1	0	4	0
3	55	2	6	156	23	1	0	0	0	0
3	55	3	0	76	5	1	0	0	1	0
3	56	2	1	173	22	1	0	0	0	0
3	56	3	0	81	7	0	0	0	0	0
3	57	2	2	147	15	0	0	0	0	0
3	57	3	0	46	5	0	0	0	0	0
3	58	2	4	150	11	3	0	0	0	0
3	58	3	0	64	12	0	0	0	1	0
3	59	2	4	190	19	1	0	0	1	0
3	59	3	0	50	5	0	0	0	2	0
3	60	2	4	184	12	0	0	0	4	0
3	60	3	1	79	3	0	0	0	3	0
3	61	2	2	136	10	1	0	0	2	0
3	61	3	0	69	4	1	0	0	1	0
3	62	2	4	179	13	2	0	0	2	0
3	62	3	0	61	5	0	0	0	1	0
3	63	2	3	168	8	1	0	0	0	0
3	63	3	0	55	10	0	0	0	1	0
3	64	2	2	205	10	1	0	0	0	0
3	64	3	0	57	5	0	0	0	0	0
3	65	2	3	190	10	1	0	0	3	0
3	65	3	1	89	4	0	0	0	1	0
3	66	2	2	189	13	0	0	1	1	0
3	66	3	0	51	3	0	0	0	0	0
