	Skrzyzowanie Jana Pawla II - Ulanow, S74-04.INT									

1	Jana Pawla II Meissnera									

2	Ulanow									

3	Jana Pawla II									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	0	8	2	0	0	0	0	0
1	55	2	0	171	17	3	2	0	3	0
1	56	1	1	18	4	0	0	0	0	0
1	56	2	2	166	19	6	0	0	5	0
1	57	1	0	25	1	1	0	0	0	0
1	57	2	0	176	21	2	1	2	1	0
1	58	1	0	14	3	0	0	0	0	0
1	58	2	1	197	21	6	1	1	1	0
1	59	1	0	22	7	0	0	0	0	0
1	59	2	1	174	18	5	2	0	3	0
1	60	1	0	26	10	1	0	0	3	0
1	60	2	2	178	17	3	1	1	4	0
1	61	1	0	27	2	0	0	0	0	0
1	61	2	3	193	19	2	1	0	0	0
1	62	1	0	37	4	0	0	0	0	0
1	62	2	5	225	13	3	0	0	4	0
1	63	1	0	33	5	0	0	0	0	0
1	63	2	3	252	19	2	1	2	4	0
1	64	1	1	33	6	0	0	0	2	0
1	64	2	1	259	17	1	0	1	5	0
1	65	1	0	51	4	0	0	0	1	0
1	65	2	1	287	15	4	1	1	1	0
1	66	1	0	53	1	0	0	0	2	0
1	66	2	2	274	8	2	0	0	3	0
2	55	1	0	27	2	0	0	0	0	0
2	55	3	1	10	1	0	0	0	0	0
2	56	1	0	8	3	0	0	0	0	0
2	56	3	1	13	0	0	0	0	1	0
2	57	1	0	11	2	0	0	0	0	0
2	57	3	1	16	1	1	0	0	0	0
2	58	1	0	21	1	0	0	0	1	0
2	58	3	1	13	0	0	0	0	0	0
2	59	1	0	12	3	0	0	0	0	0
2	59	3	1	16	2	0	0	0	0	0
2	60	1	0	14	0	0	0	0	0	0
2	60	3	1	14	1	0	0	0	5	0
2	61	1	0	24	2	0	0	0	1	0
2	61	3	1	21	4	0	0	0	1	0
2	62	1	0	13	0	0	0	0	0	0
2	62	3	0	19	2	0	0	0	1	0
2	63	1	0	20	0	0	0	0	0	0
2	63	3	1	18	0	0	0	0	1	0
2	64	1	0	14	1	0	0	0	1	0
2	64	3	2	14	1	0	0	0	0	0
2	65	1	0	19	0	0	0	0	0	0
2	65	3	1	16	1	0	0	0	0	0
2	66	1	0	14	1	0	0	0	0	0
2	66	3	1	23	0	0	0	0	0	0
3	55	2	2	165	24	5	1	0	1	0
3	55	3	0	32	1	0	0	0	0	0
3	56	2	2	160	20	6	1	0	0	0
3	56	3	0	23	3	0	0	0	0	0
3	57	2	1	160	30	4	3	4	5	0
3	57	3	0	27	6	0	0	0	1	0
3	58	2	2	169	10	9	2	1	0	0
3	58	3	0	20	1	1	1	0	0	0
3	59	2	1	198	19	2	4	1	1	0
3	59	3	0	40	2	0	0	0	0	0
3	60	2	5	192	13	2	2	0	4	0
3	60	3	0	38	2	0	0	0	0	0
3	61	2	2	195	14	1	0	0	3	0
3	61	3	0	50	3	0	0	0	0	0
3	62	2	0	188	18	6	1	1	0	0
3	62	3	0	34	2	1	0	0	0	0
3	63	2	4	217	13	3	0	1	2	0
3	63	3	0	33	4	0	0	0	0	0
3	64	2	1	202	20	8	0	0	5	0
3	64	3	0	43	1	0	0	0	0	0
3	65	2	1	215	23	0	0	0	1	0
3	65	3	0	40	6	0	0	0	0	0
3	66	2	1	201	14	2	0	0	2	0
3	66	3	0	33	3	1	0	1	0	0
