	Skrzyzowanie Kapielowa - Zakopianska, P33-04.INT									

0	Zakopianska									

1	Forteczna									

2	Zakopianska Jugowicka									

3	Kapielowa									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	6	2	0	0	0	0	0
0	55	2	5	215	46	16	1	0	0	0
0	55	3	0	6	2	0	0	0	0	0
0	56	1	0	3	3	0	0	0	0	0
0	56	2	7	199	28	14	1	0	0	0
0	56	3	1	1	4	0	0	0	0	0
0	57	1	3	2	0	0	0	0	0	0
0	57	2	2	170	38	10	0	0	0	0
0	57	3	0	3	3	0	0	0	0	0
0	58	1	0	1	3	0	0	0	1	0
0	58	2	7	172	30	10	0	0	0	0
0	58	3	0	8	3	1	0	0	0	0
0	59	1	0	6	0	0	0	0	0	0
0	59	2	11	186	35	13	3	0	0	0
0	59	3	0	12	5	1	0	0	0	0
0	60	1	0	5	0	0	0	0	0	0
0	60	2	4	168	47	12	2	1	0	0
0	60	3	0	7	1	0	0	0	0	0
0	61	1	0	10	2	0	0	0	0	0
0	61	2	9	175	40	18	10	0	0	0
0	61	3	0	12	6	0	0	0	0	0
0	62	1	0	6	2	0	0	0	0	0
0	62	2	6	205	37	8	0	1	0	0
0	62	3	0	7	1	2	0	0	0	0
0	63	1	0	7	2	0	0	0	0	0
0	63	2	10	166	31	15	0	0	0	0
0	63	3	0	10	3	0	0	0	0	0
0	64	1	0	3	4	0	0	0	0	0
0	64	2	5	201	30	11	0	0	0	0
0	64	3	0	7	4	0	0	0	0	0
0	65	1	0	3	2	0	0	0	0	0
0	65	2	9	180	31	11	1	0	0	0
0	65	3	0	9	2	0	0	0	0	0
0	66	1	0	3	2	0	0	0	0	0
0	66	2	10	184	25	13	0	0	0	0
0	66	3	0	7	1	0	0	0	0	0
1	55	1	0	4	1	0	0	0	0	0
1	55	2	0	1	1	0	0	0	0	0
1	55	3	0	2	0	0	0	0	0	0
1	56	1	0	2	1	0	0	0	0	0
1	56	2	0	7	0	0	0	0	0	0
1	56	3	0	4	1	0	0	0	0	0
1	57	1	0	3	0	0	0	0	0	0
1	57	2	0	5	0	0	0	0	0	0
1	57	3	0	5	1	0	0	0	0	0
1	58	1	0	4	0	0	0	0	0	0
1	58	2	0	2	1	0	0	0	0	0
1	58	3	0	3	1	1	0	0	0	0
1	59	1	0	4	2	0	0	0	0	0
1	59	2	0	5	0	1	0	0	0	0
1	59	3	0	4	1	0	0	0	0	0
1	60	1	0	2	2	0	0	0	0	0
1	60	2	0	5	1	0	0	0	0	0
1	60	3	0	3	3	0	0	0	0	0
1	61	1	0	6	3	0	0	0	0	0
1	61	2	0	4	0	0	0	0	0	0
1	61	3	0	6	1	0	0	0	0	0
1	62	1	0	1	4	0	0	0	0	0
1	62	2	0	5	2	0	0	0	0	0
1	62	3	0	9	0	0	0	0	0	0
1	63	1	0	3	3	0	0	0	0	0
1	63	2	0	6	0	0	0	0	1	0
1	63	3	0	5	1	0	0	0	0	0
1	64	1	0	2	3	0	0	0	0	0
1	64	2	0	7	0	0	0	0	2	0
1	64	3	0	10	1	0	0	0	0	0
1	65	1	0	5	0	0	0	0	1	0
1	65	2	0	9	0	1	0	0	0	0
1	65	3	0	5	1	0	0	0	0	0
1	66	1	0	6	3	0	0	0	0	0
1	66	2	0	12	3	0	0	0	0	0
1	66	3	0	6	2	0	0	0	0	0
2	55	1	1	21	8	3	0	0	1	0
2	55	2	10	122	31	7	4	0	0	0
2	55	3	0	2	2	0	0	0	0	0
2	56	1	2	26	6	1	0	0	1	0
2	56	2	11	174	39	13	8	1	2	0
2	56	3	0	2	1	0	0	0	0	0
2	57	1	3	25	9	0	0	0	0	0
2	57	2	7	209	39	11	8	0	0	0
2	57	3	0	2	1	0	0	0	0	0
2	58	1	4	25	8	1	0	0	1	0
2	58	2	8	215	43	8	4	0	2	0
2	58	3	0	1	0	0	0	0	0	0
2	59	1	3	37	3	0	0	0	0	0
2	59	2	11	183	39	13	3	1	2	0
2	59	3	0	1	0	0	0	0	0	0
2	60	1	3	25	3	0	0	0	0	0
2	60	2	12	158	31	13	4	1	0	0
2	60	3	0	1	0	0	0	0	0	0
2	61	1	3	35	4	0	0	0	0	0
2	61	2	7	202	33	16	6	0	0	0
2	61	3	0	4	1	0	0	0	0	0
2	62	1	2	38	4	0	0	0	0	0
2	62	2	16	206	30	9	5	0	1	0
2	62	3	0	2	1	0	0	0	0	0
2	63	1	3	24	1	0	0	0	0	0
2	63	2	13	239	40	12	5	0	4	0
2	63	3	0	3	1	0	0	0	0	0
2	64	1	3	17	2	0	0	0	1	0
2	64	2	6	240	33	5	0	1	2	0
2	65	1	3	20	4	0	0	0	1	0
2	65	2	10	233	31	7	4	1	0	0
2	65	3	0	1	0	0	0	0	0	0
