	Skrzyzowanie Kobierzynska - Torfowa, P83-04.INT									

0	Kobierzynska									

2	Kobierzynska									

3	Torfowa									


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	3	40	9	1	0	1	0	0
0	55	2	0	1	0	0	0	0	0	0
0	56	1	7	60	24	1	0	0	1	0
0	56	2	0	2	0	0	0	0	0	0
0	57	1	1	58	17	3	0	0	0	0
0	57	2	0	9	1	0	0	0	0	0
0	58	1	3	50	17	4	0	0	0	0
0	58	2	0	3	2	0	0	0	0	0
0	59	1	4	57	16	0	0	0	1	0
0	59	2	0	5	0	0	0	0	1	0
0	60	1	1	52	17	0	0	0	2	0
0	60	2	0	6	1	0	0	0	0	0
0	61	1	2	52	19	0	0	0	2	0
0	61	2	0	7	0	0	0	0	0	0
0	62	1	3	24	3	0	0	0	0	0
0	62	2	0	7	1	0	0	0	0	0
0	63	1	3	34	11	0	0	0	1	0
0	63	2	0	6	6	0	0	0	0	0
0	64	1	2	32	21	0	0	0	1	0
0	64	2	0	7	4	0	0	0	0	0
0	65	1	2	60	32	0	0	0	1	0
0	65	2	0	4	2	0	0	0	0	0
0	66	1	1	42	23	0	0	0	0	0
0	66	2	0	3	4	0	0	0	0	0
2	55	1	0	7	1	0	0	1	1	0
2	55	2	1	60	14	0	0	0	1	0
2	56	1	0	14	4	0	0	0	0	0
2	56	2	1	55	12	2	0	0	0	0
2	57	1	0	17	2	0	0	0	0	0
2	57	2	1	79	13	2	0	0	0	0
2	58	1	0	15	1	0	0	0	0	0
2	58	2	2	77	9	0	0	0	0	0
2	59	1	0	9	3	0	0	0	0	0
2	59	2	4	58	7	0	0	0	1	0
2	60	1	0	8	0	0	0	0	0	0
2	60	2	1	62	5	0	0	0	0	0
2	61	1	0	13	1	0	0	1	0	0
2	61	2	2	57	6	0	0	0	0	0
2	62	1	0	21	2	0	0	0	3	0
2	62	2	3	70	9	2	0	0	0	0
2	63	1	0	7	0	0	0	0	0	0
2	63	2	1	11	5	1	0	0	0	0
2	64	1	0	13	1	0	0	1	0	0
2	64	2	1	75	12	1	0	0	0	0
2	65	1	0	24	1	0	0	0	1	0
2	65	2	2	65	10	1	1	0	0	0
2	66	1	1	14	0	0	0	1	0	0
2	66	2	2	66	3	0	0	0	0	0
3	55	1	0	6	0	0	0	0	0	0
3	55	2	0	7	0	0	0	0	0	0
3	56	1	0	7	0	0	0	0	0	0
3	56	2	0	9	0	0	0	0	0	0
3	57	1	0	5	4	0	0	0	0	0
3	57	2	0	13	3	0	0	0	0	0
3	58	1	0	3	1	0	0	0	0	0
3	58	2	0	7	2	1	0	0	0	0
3	59	1	0	4	1	0	0	0	0	0
3	59	2	0	13	1	0	0	0	0	0
3	60	1	0	5	1	0	0	0	0	0
3	60	2	0	13	1	0	0	0	2	0
3	61	1	0	4	0	0	0	0	0	0
3	61	2	0	14	0	0	0	0	0	0
3	62	1	0	2	1	0	0	0	0	0
3	62	2	0	8	1	0	0	1	1	0
3	63	1	0	4	0	0	0	0	0	0
3	63	2	0	7	0	0	0	0	0	0
3	64	1	0	2	1	0	0	0	0	0
3	64	2	0	11	1	0	0	0	0	0
3	65	1	0	4	0	0	0	0	0	0
3	65	2	0	7	0	0	0	0	0	0
3	66	1	0	4	1	0	0	0	0	0
3	66	2	0	12	0	0	0	1	0	0
