	Skrzyzowanie Ksiecia Jozefa - Mirowska, K61-04.INT									

0	Mirowska									

1	Ksiecia Jozefa									

3	Ksiecia Jozefa Malczewskiego									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	8	1	2	0	0	0	0
0	55	3	1	31	4	5	0	0	0	0
0	56	1	0	7	3	0	0	0	0	0
0	56	3	0	17	2	2	0	0	0	0
0	57	1	0	9	2	0	0	0	0	0
0	57	3	1	26	4	3	0	0	0	0
0	58	1	0	5	2	1	0	0	0	0
0	58	3	1	10	3	0	0	0	0	0
0	59	1	0	8	0	0	0	0	0	0
0	59	3	0	16	1	0	0	0	0	0
0	60	1	0	3	2	1	0	0	0	0
0	60	3	0	27	10	3	0	0	0	0
0	61	1	1	13	3	0	0	0	0	0
0	61	3	2	25	16	0	0	0	0	0
0	62	1	0	19	3	3	0	0	0	0
0	62	3	1	35	18	0	0	0	0	0
0	63	1	0	7	2	0	0	0	0	0
0	63	3	1	29	3	0	0	0	0	0
0	64	1	0	2	1	0	0	0	0	0
0	64	3	1	22	18	1	0	0	1	0
0	65	1	0	8	2	0	0	0	0	0
0	65	3	0	21	5	1	0	0	0	0
0	66	1	0	2	0	0	0	0	0	0
0	66	3	0	11	0	1	0	1	1	0
1	55	2	0	29	16	10	0	0	1	0
1	55	3	0	3	4	3	0	0	0	0
1	56	2	4	29	10	2	1	1	2	0
1	56	3	0	2	0	3	0	0	0	0
1	57	2	2	25	12	3	0	0	1	0
1	57	3	0	4	1	3	0	0	0	0
1	58	2	4	29	15	2	0	0	0	0
1	58	3	0	3	3	0	0	0	0	0
1	59	2	5	30	8	2	0	1	0	0
1	59	3	0	3	0	0	0	0	0	0
1	60	2	6	36	26	1	0	0	0	0
1	60	3	0	3	3	2	0	0	0	0
1	61	2	2	31	13	2	0	0	0	0
1	61	3	1	3	7	4	1	0	0	0
1	62	2	6	29	9	4	0	1	0	0
1	62	3	0	2	2	0	0	0	0	0
1	63	2	4	25	0	0	0	0	2	0
1	63	3	0	4	4	1	0	0	0	0
1	64	2	2	37	18	0	0	0	1	0
1	64	3	0	4	0	1	0	0	0	0
1	65	2	4	38	14	3	0	0	1	0
1	65	3	0	4	1	1	0	0	0	0
1	66	2	3	37	16	2	0	0	0	0
1	66	3	0	3	1	0	0	0	0	0
3	55	1	1	20	9	0	0	0	0	0
3	55	2	8	32	11	1	0	0	0	0
3	56	1	2	27	6	2	0	0	0	0
3	56	2	5	32	2	1	0	0	0	0
3	57	1	3	32	8	1	1	0	0	0
3	57	2	4	37	5	1	0	0	0	0
3	58	1	1	34	4	2	2	0	0	0
3	58	2	9	55	5	2	0	0	1	0
3	59	1	2	36	9	2	0	1	0	0
3	59	2	3	49	11	2	0	0	2	0
3	60	1	1	70	4	0	0	0	1	0
3	60	2	8	55	8	1	0	0	0	0
3	61	1	4	36	3	0	0	0	1	0
3	61	2	7	55	7	1	1	0	0	0
3	62	1	4	52	3	0	2	0	0	0
3	62	2	6	59	7	1	2	1	0	0
3	63	1	3	53	7	4	2	0	0	0
3	63	2	4	45	6	1	1	1	2	0
3	64	1	3	51	8	0	1	0	1	0
3	64	2	7	70	5	1	0	0	0	0
3	65	1	3	56	5	1	1	0	0	0
3	65	2	3	46	5	0	1	0	0	0
3	66	1	1	33	3	0	0	1	0	0
3	66	2	3	35	4	2	0	0	1	0
