	Skrzyzowanie Okulickiego - Lowinskiego, H57-04.INT									

0	Fatimska									

1	Okulickiego									

2	Mistrzejowicka									

3	Lowinskiego									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	4	2	0	0	0	0	0
0	55	2	0	5	0	0	0	0	0	0
0	55	3	0	4	0	0	0	0	0	0
0	56	1	0	4	4	0	0	0	0	0
0	56	2	0	13	0	0	0	0	0	0
0	56	3	0	7	3	0	0	0	0	0
0	57	1	0	6	2	0	0	0	0	0
0	57	2	0	5	0	0	0	0	2	0
0	57	3	0	4	2	0	0	0	0	0
0	58	1	0	3	0	0	0	0	0	0
0	58	2	0	8	0	0	0	0	0	0
0	58	3	0	8	2	0	0	0	1	0
0	59	1	0	7	1	0	0	0	1	0
0	59	2	0	12	2	0	0	0	2	0
0	59	3	0	13	2	0	0	0	0	0
0	60	1	0	2	0	0	0	0	0	0
0	60	2	0	10	3	0	0	0	2	0
0	60	3	0	13	2	0	0	0	0	0
0	61	1	0	7	1	0	0	0	0	0
0	61	2	0	11	3	0	0	0	1	0
0	61	3	0	13	5	0	0	0	0	0
0	62	1	0	4	0	0	0	0	0	0
0	62	2	0	17	0	0	0	0	0	0
0	62	3	0	11	3	0	0	0	1	0
0	63	1	0	6	1	0	0	0	0	0
0	63	2	0	10	0	0	0	0	0	0
0	63	3	0	11	2	0	0	0	0	0
0	64	1	0	5	0	0	0	0	0	0
0	64	2	0	10	1	0	0	0	1	0
0	64	3	0	19	5	0	0	0	1	0
0	65	1	0	4	2	0	0	0	0	0
0	65	2	0	12	0	0	0	0	0	0
0	65	3	0	14	3	0	0	0	0	0
0	66	1	0	6	0	0	0	0	0	0
0	66	2	0	13	1	0	0	0	1	0
0	66	3	0	9	5	0	0	0	0	0
1	55	1	0	14	3	0	0	0	0	0
1	55	2	1	66	9	2	9	0	2	0
1	55	3	0	6	0	0	0	0	0	0
1	56	1	0	17	2	0	0	0	0	0
1	56	2	1	88	28	1	12	0	2	0
1	56	3	0	14	1	0	0	0	0	0
1	57	1	0	25	4	0	1	0	0	0
1	57	2	1	79	20	14	0	0	1	0
1	57	3	0	6	1	0	0	0	0	0
1	58	1	0	16	2	0	0	0	0	0
1	58	2	1	82	24	15	0	0	1	0
1	58	3	0	13	2	0	0	0	0	0
1	59	1	0	16	0	0	0	0	0	0
1	59	2	1	75	19	16	0	0	1	0
1	59	3	0	15	3	0	0	0	0	0
1	60	1	0	22	2	0	0	0	0	0
1	60	2	1	93	15	15	0	0	1	0
1	60	3	0	11	5	0	0	0	0	0
1	61	1	0	24	5	0	0	0	0	0
1	61	2	1	96	16	16	0	0	0	0
1	61	3	0	18	4	0	0	0	1	0
1	62	1	0	23	1	3	0	0	0	0
1	62	2	1	99	25	15	0	0	0	0
1	62	3	0	14	4	0	0	0	0	0
1	63	1	0	24	3	0	0	0	0	0
1	63	2	5	101	19	10	0	1	0	0
1	63	3	0	19	1	0	0	0	1	0
1	64	1	0	21	4	1	0	0	0	0
1	64	2	2	90	9	4	0	0	0	0
1	64	3	0	14	0	0	0	0	3	0
1	65	1	0	24	3	0	0	0	0	0
1	65	2	1	80	21	4	7	0	0	0
1	65	3	0	15	2	0	0	0	1	0
1	66	1	0	21	4	0	0	0	0	0
1	66	2	2	84	15	19	0	1	0	0
1	66	3	0	23	5	0	0	0	0	0
2	55	1	0	2	1	0	0	0	0	0
2	55	2	0	5	0	0	0	0	0	0
2	55	3	0	13	0	0	0	0	0	0
2	56	1	0	1	0	0	0	0	0	0
2	56	2	0	7	1	0	0	0	0	0
2	56	3	0	16	2	0	0	0	0	0
2	57	1	0	3	0	0	0	0	0	0
2	57	2	0	8	0	0	0	0	1	0
2	57	3	0	27	2	1	0	1	0	0
2	58	1	0	1	1	0	0	0	0	0
2	58	2	0	4	1	0	0	0	1	0
2	58	3	0	28	5	0	0	0	0	0
2	59	1	0	4	0	0	0	0	0	0
2	59	2	0	11	1	0	0	0	0	0
2	59	3	0	19	3	0	0	0	0	0
2	60	1	0	4	0	0	0	0	0	0
2	60	2	0	10	1	0	0	0	0	0
2	60	3	0	25	1	0	0	0	1	0
2	61	1	0	4	2	0	0	0	0	0
2	61	2	0	8	1	0	0	0	0	0
2	61	3	0	17	0	0	0	0	0	0
2	62	1	0	3	0	0	0	0	1	0
2	62	2	0	7	1	0	0	0	0	0
2	62	3	0	21	2	0	0	0	2	0
2	63	1	0	4	2	0	0	0	0	0
2	63	2	0	4	0	0	0	0	0	0
2	63	3	0	15	1	0	0	0	0	0
2	64	1	0	5	0	0	0	0	0	0
2	64	2	0	6	1	0	0	0	0	0
2	64	3	0	23	2	0	0	0	0	0
2	65	1	0	3	0	0	0	0	0	0
2	65	2	0	5	0	0	0	0	0	0
2	65	3	0	16	2	0	0	0	2	0
2	66	1	0	5	1	0	0	0	0	0
2	66	2	0	3	2	0	0	0	0	0
2	66	3	0	12	0	0	0	1	0	0
3	55	1	0	5	5	0	0	0	0	0
3	55	2	2	56	11	14	0	0	0	0
3	55	3	0	2	1	0	0	0	0	0
3	56	1	0	9	2	0	0	0	0	0
3	56	2	1	123	24	18	1	0	1	0
3	56	3	0	5	2	0	0	0	0	0
3	57	1	0	10	4	0	0	0	1	0
3	57	2	1	144	15	21	0	0	2	0
3	57	3	0	4	1	0	0	0	0	0
3	58	1	0	12	0	0	0	0	0	0
3	58	2	2	167	17	15	1	0	0	0
3	58	3	0	8	0	0	0	0	0	0
3	59	1	0	14	1	0	0	0	0	0
3	59	2	1	149	21	16	0	0	2	0
3	59	3	0	8	1	0	0	0	2	0
3	60	1	0	10	2	0	0	0	1	0
3	60	2	3	115	15	15	0	1	0	0
3	60	3	0	9	0	0	0	0	0	0
3	61	1	0	13	3	0	0	0	0	0
3	61	2	2	154	13	17	2	0	1	0
3	61	3	0	4	0	0	0	0	0	0
3	62	1	0	7	3	0	0	0	0	0
3	62	2	1	144	16	21	0	1	1	0
3	62	3	0	8	2	0	0	0	2	0
3	63	1	0	9	1	0	0	0	1	0
3	63	2	1	140	18	18	1	0	0	0
3	63	3	0	8	0	0	0	0	0	0
3	64	1	0	13	0	0	0	0	1	0
3	64	2	1	89	16	18	2	0	0	0
3	64	3	0	7	0	0	0	0	4	0
3	65	1	0	4	2	0	0	0	1	0
3	65	2	2	67	10	7	0	0	1	0
3	65	3	0	4	2	0	0	0	0	0
3	66	1	0	2	0	0	0	0	0	0
3	66	2	1	72	7	4	0	0	0	0
3	66	3	0	5	1	0	0	0	2	0
