	Skrzyzowanie Piasta Kolodzieja - Bitwy nad Bzura, H26A-04.INT									

0	Piasta Kolodzieja Mikolajczyka									

1	Bitwy nad Bzura									

2	Piasta Kolodzieja									

3	Perkuna									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	57	1	0	28	1	0	0	0	0	0
0	57	2	1	75	5	2	0	0	1	0
0	57	3	0	13	0	0	0	0	0	0
0	58	1	0	38	1	0	0	0	1	0
0	58	2	0	72	15	4	0	1	2	0	
0	58	3	0	12	0	0	0	0	0	0	
0	59	1	0	38	2	1	0	0	0	0	
0	59	2	0	96	6	4	1	0	0	0	
0	59	3	0	17	1	0	0	0	0	0	
0	60	1	0	25	2	1	0	0	0	0	
0	60	2	0	85	7	7	0	0	0	0	
0	60	3	1	5	1	0	0	0	0	0	
1	57	1	0	7	1	0	0	0	0	0	
1	58	1	0	13	1	0	0	0	1	0	
1	59	1	0	15	1	1	0	0	0	0	
1	60	1	0	5	1	1	0	0	0	0	
1	57	3	0	10	0	0	0	0	0	0	
1	58	3	0	17	1	0	0	0	1	0	
1	59	3	0	7	1	1	0	0	0	0	
1	60	3	0	8	1	1	0	0	0	0	
2	57	1	2	8	1	0	0	0	0	0
2	57	2	0	56	7	3	2	1	1	0
2	57	3	0	14	1	0	0	0	0	0
2	58	1	3	3	0	0	0	0	0	0
2	58	2	0	56	3	1	1	0	1	0
2	58	3	0	2	2	0	0	0	0	0
2	59	1	1	4	1	0	0	0	0	0
2	59	2	2	62	8	3	0	0	0	0
2	59	3	0	6	0	0	0	0	0	0
2	60	1	2	4	0	0	0	0	0	0
2	60	2	1	70	7	3	1	0	0	0
2	60	3	0	12	2	0	0	0	0	0
3	57	1	0	9	1	0	0	0	0	0
3	58	1	0	16	1	0	0	0	1	0
3	59	1	0	19	2	1	0	0	0	0
3	60	1	0	6	2	1	0	0	0	0
3	57	3	0	12	0	0	0	0	0	0
3	58	3	0	21	1	0	0	0	1	0
3	59	3	0	9	2	1	0	0	0	0
3	60	3	0	10	2	1	0	0	0	0
