	Skrzyzowanie al. Solidarnosci - Orkana, H29-04.INT									

0	Orkana									

1	Solidarnosci Centralny									

2	Struga									

3	Solidarnosci Bulwarowa									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	1	11	0	0	0	0	0	0
0	55	2	1	25	5	0	0	0	0	0
0	55	3	0	1	0	0	0	0	0	0
0	56	1	1	10	2	0	0	0	0	0
0	56	2	0	24	6	0	0	0	0	0
0	56	3	0	1	0	0	0	0	0	0
0	57	1	1	7	2	0	0	0	0	0
0	57	2	1	38	1	0	0	0	0	0
0	58	1	0	5	1	0	0	0	0	0
0	58	2	1	36	4	0	0	0	0	0
0	58	3	0	2	0	0	0	0	0	0
0	59	1	3	13	1	0	0	0	0	0
0	59	2	2	36	4	0	0	1	0	0
0	59	3	0	1	0	0	0	0	0	0
0	60	1	1	10	1	0	0	0	0	0
0	60	2	2	36	5	0	0	0	0	0
0	60	3	0	1	0	0	0	0	0	0
0	61	1	2	13	1	0	0	0	0	0
0	61	2	0	45	2	0	0	0	3	0
0	61	3	0	3	0	0	0	0	0	0
0	62	1	1	15	1	0	0	0	0	0
0	62	2	1	53	0	0	0	0	0	0
0	62	3	0	6	0	0	0	0	0	0
0	63	1	2	15	3	0	0	0	0	0
0	63	2	1	25	2	0	0	0	0	0
0	63	3	0	4	0	0	0	0	0	0
0	64	1	2	15	2	0	0	0	0	0
0	64	2	1	23	2	0	0	0	0	0
0	64	3	0	1	0	0	0	0	0	0
0	65	1	1	14	2	0	0	0	0	0
0	65	2	1	30	1	1	0	0	3	0
0	65	3	0	5	0	0	0	0	0	0
0	66	1	1	17	1	0	0	0	0	0
0	66	2	1	34	4	0	0	0	1	0
0	66	3	0	2	0	0	0	0	0	0
1	55	1	0	13	1	0	0	0	0	0
1	55	2	9	55	8	3	0	0	0	0
1	55	3	0	12	0	0	0	0	0	0
1	56	1	0	12	1	0	0	0	0	0
1	56	2	7	55	7	2	0	0	0	0
1	56	3	0	11	2	0	0	0	0	0
1	57	1	0	19	1	0	0	0	0	0
1	57	2	9	40	4	1	0	0	0	0
1	57	3	0	16	1	0	0	0	0	0
1	58	1	0	6	0	0	0	0	0	0
1	58	2	4	39	3	1	0	0	0	0
1	58	3	0	5	1	0	0	0	0	0
1	59	1	0	7	1	0	0	0	0	0
1	59	2	8	35	14	1	0	0	0	0
1	59	3	0	16	3	0	0	0	0	0
1	60	1	0	13	2	0	0	0	0	0
1	60	2	7	40	5	0	1	0	0	0
1	60	3	0	10	1	0	0	0	0	0
1	61	1	0	8	0	0	0	0	0	0
1	61	2	5	30	2	2	0	0	0	0
1	61	3	0	18	3	0	0	0	0	0
1	62	1	0	5	1	0	0	0	0	0
1	62	2	8	35	1	0	0	0	0	0
1	62	3	0	16	1	0	0	0	0	0
1	63	1	0	7	2	0	0	0	0	0
1	63	2	6	32	4	0	0	0	0	0
1	63	3	0	16	1	0	0	0	0	0
1	64	1	0	6	0	0	0	0	0	0
1	64	2	7	30	2	0	0	0	0	0
1	64	3	0	14	0	0	0	0	0	0
1	65	1	0	8	0	0	0	0	0	0
1	65	2	10	24	0	0	0	0	0	0
1	65	3	0	6	1	0	0	0	0	0
1	66	1	0	11	0	0	0	0	0	0
1	66	2	9	28	4	1	0	0	0	0
1	66	3	0	8	1	0	0	0	0	0
2	55	1	0	25	1	0	0	0	0	0
2	55	2	0	33	3	2	0	0	0	0
2	55	3	0	7	2	0	0	0	0	0
2	56	1	0	26	0	0	0	0	0	0
2	56	2	2	39	15	1	0	0	2	0
2	56	3	0	18	1	0	0	0	0	0
2	57	1	1	19	1	0	0	0	0	0
2	57	2	1	23	3	0	0	0	1	0
2	57	3	0	9	0	0	0	0	0	0
2	58	1	0	23	3	0	0	0	0	0
2	58	2	1	35	7	2	0	0	0	0
2	58	3	0	18	2	1	0	0	0	0
2	59	1	0	32	4	0	0	0	0	0
2	59	2	3	41	5	0	0	0	0	0
2	59	3	0	13	0	0	0	0	0	0
2	60	1	0	25	7	0	0	0	0	0
2	60	2	1	38	7	0	0	0	0	0
2	60	3	0	15	3	0	0	0	0	0
2	61	1	0	26	2	1	0	0	0	0
2	61	2	2	56	6	1	0	0	0	0
2	61	3	0	10	0	0	0	0	0	0
2	62	1	0	24	4	1	0	0	0	0
2	62	2	1	45	5	0	0	0	4	0
2	62	3	0	20	0	0	0	0	0	0
2	63	1	0	26	9	0	0	0	0	0
2	63	2	1	42	7	1	0	0	0	0
2	63	3	0	12	1	0	0	0	0	0
2	64	1	0	23	4	0	0	0	0	0
2	64	2	1	45	5	0	0	0	0	0
2	64	3	0	14	4	0	0	0	0	0
2	65	1	0	20	2	1	0	0	0	0
2	65	2	2	44	5	0	0	0	1	0
2	65	3	0	12	1	0	0	0	0	0
2	66	1	0	19	1	0	0	0	0	0
2	66	2	1	25	6	0	0	0	0	0
2	66	3	0	15	1	0	0	0	0	0
3	55	1	0	3	2	0	0	0	0	0
3	55	2	6	76	10	0	0	0	0	0
3	55	3	0	20	3	0	0	0	0	0
3	56	1	0	3	2	0	0	0	0	0
3	56	2	8	100	6	1	0	1	1	0
3	56	3	0	31	1	1	0	0	0	0
3	57	1	0	6	0	0	0	0	0	0
3	57	2	9	127	10	0	0	0	4	0
3	57	3	0	45	0	0	0	0	0	0
3	58	1	0	6	0	0	0	0	0	0
3	58	2	7	112	10	1	0	0	3	0
3	58	3	0	36	1	1	0	0	0	0
3	59	1	0	3	0	0	1	0	0	0
3	59	2	12	103	7	0	2	0	3	0
3	59	3	0	31	1	0	0	0	0	0
3	60	1	1	9	0	0	0	0	0	0
3	60	2	7	65	8	1	0	0	1	0
3	60	3	0	27	2	2	0	0	0	0
3	61	2	7	145	5	0	1	0	2	0
3	61	3	0	41	2	1	0	0	1	0
3	62	1	0	7	1	0	0	0	0	0
3	62	2	7	103	10	1	1	0	0	0
3	62	3	0	25	3	0	0	0	0	0
3	63	1	0	5	0	0	0	0	0	0
3	63	2	7	86	8	1	0	0	0	0
3	63	3	0	38	1	0	0	0	0	0
3	64	1	0	6	1	0	0	0	0	0
3	64	2	7	73	7	0	1	0	0	0
3	64	3	0	15	2	1	0	0	0	0
3	65	1	5	1	0	0	0	0	0	0
3	65	2	8	66	17	0	0	0	0	0
3	65	3	0	23	2	0	0	0	0	0
3	66	1	0	3	0	0	0	0	0	0
3	66	2	5	44	2	1	0	0	0	0
3	66	3	0	19	0	0	0	0	0	0
