	Slowackiego - Krolewska Junction, 8 K-6, 8 K-6a, 8 K-6b - 37

0	Mickiewicza - 37038, 38037

1	Krolewska - 37014, 14037

2	Slowackiego - 37036, 36037

3	Karmelicka - 37045, 45037


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	9	2	0	0	0	0	0
0	56	1	0	19	1	0	0	0	0	0
0	57	1	1	15	2	1	0	0	0	0
0	58	1	0	15	0	1	0	0	0	0
0	59	1	1	6	2	0	0	0	0	0
0	60	1	0	17	1	0	0	0	0	0
0	61	1	0	18	2	1	0	1	0	0
0	62	1	0	20	3	0	0	0	0	0
0	63	1	0	25	4	1	0	1	0	0
0	64	1	1	19	2	0	0	0	0	0
0	65	1	1	17	2	0	0	0	0	0
0	66	1	0	20	1	0	0	0	0	0
0	55	2	13	265	29	3	1	1	1	0
0	55	3	0	63	5	2	0	0	0	0
0	56	2	14	274	42	0	3	0	0	0
0	56	3	0	70	15	1	0	0	0	0
0	57	2	13	275	45	6	2	2	0	0
0	57	3	0	89	11	0	0	0	0	0
0	58	2	18	354	30	8	0	1	0	0
0	58	3	0	80	11	0	0	1	0	0
0	59	2	19	442	32	2	0	0	0	0
0	59	3	0	67	11	1	0	0	0	0
0	60	2	14	391	17	0	0	0	0	0
0	60	3	0	102	2	0	0	0	0	0
0	61	2	13	365	29	1	0	2	0	0
0	61	3	0	95	5	0	0	0	0	0
0	62	2	19	291	22	4	0	1	0	0
0	62	3	0	80	7	0	0	0	0	0
0	63	2	17	312	26	3	0	1	0	0
0	63	3	1	90	6	0	0	0	0	0
0	64	2	16	298	27	0	0	0	1	0
0	64	3	0	80	7	0	0	0	0	0
0	65	2	14	274	28	2	1	0	0	0
0	65	3	0	80	3	1	0	0	0	0
0	66	2	13	261	23	4	0	0	0	0
0	66	3	0	72	5	1	0	0	0	0
1	55	1	0	17	0	0	0	0	0	0
1	56	1	0	19	2	0	0	0	0	0
1	57	1	0	20	1	0	0	0	0	0
1	58	1	0	20	1	0	0	0	0	0
1	59	1	0	16	2	0	0	0	0	0
1	60	1	0	25	1	0	0	0	0	0
