	Squadron 308 Roundabout, 35 H-8 - 146

0	Nowohucka Centralna - 146145, 145146

1	Pokoju Ofiar Dabia - 146125, 125146

2	Nowohucka Stella Sawickiego - 146150, 150146

3	Pokoju Jana Pawla II - 146147, 147146


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	3	0	0	0	0	0	0
0	55	2	1	166	9	5	6	0	0	0
0	55	3	4	82	6	1	5	0	1	0
0	56	1	0	3	0	0	0	0	0	0
0	56	2	0	188	7	14	3	1	0	0
0	56	3	4	75	17	3	3	0	0	0
0	57	1	0	8	0	1	1	0	0	0
0	57	2	0	147	26	14	6	0	0	0
0	57	3	2	70	17	6	5	2	0	0
0	58	1	0	2	1	0	0	0	0	0
0	58	2	3	148	14	4	9	0	0	0
0	58	3	3	79	7	5	3	1	0	0
0	59	1	0	4	1	0	0	0	0	0
0	59	2	0	142	6	1	2	0	0	0
0	59	3	2	52	7	4	1	0	0	0
0	60	1	0	1	0	0	0	0	1	0
0	60	2	0	166	25	10	5	0	0	0
0	60	3	2	56	7	5	1	1	2	0
0	61	1	1	5	0	0	0	0	0	0
0	61	2	0	165	4	3	6	0	0	0
0	61	3	4	82	6	2	3	1	0	0
0	62	1	2	6	0	1	0	0	0	0
0	62	2	0	141	9	5	2	0	0	0
0	62	3	3	99	11	2	0	0	0	0
0	63	1	0	5	0	1	0	2	0	0
0	63	2	1	235	8	5	5	0	0	0
0	63	3	4	108	6	3	1	1	1	0
0	64	1	0	5	1	0	0	0	0	0
0	64	2	1	151	5	3	5	0	0	0
0	64	3	4	107	8	2	2	3	0	0
0	65	1	0	2	0	0	0	0	0	0
0	65	2	0	180	5	0	3	0	0	0
0	65	3	4	101	7	6	2	2	0	0
0	66	1	0	4	1	0	0	0	1	0
0	66	2	0	153	10	6	0	0	0	0
0	66	3	5	110	9	2	2	2	2	0
1	55	1	1	56	6	0	1	1	0	0
1	55	2	1	102	7	4	1	3	1	0
1	55	3	0	22	5	0	0	0	0	0
1	56	1	1	69	8	0	0	0	0	0
1	56	2	1	116	11	1	0	0	2	0
1	56	3	0	39	4	0	0	0	0	0
1	57	1	0	63	4	2	2	1	1	0
1	57	2	1	116	11	2	0	0	0	0
1	57	3	0	25	7	0	0	0	0	0
1	58	1	0	79	1	0	0	0	1	0
1	58	2	0	110	13	0	0	0	2	0
1	58	3	0	25	0	3	1	0	0	0
1	59	1	0	75	3	0	0	0	0	0
1	59	2	0	147	13	0	0	0	0	0
1	59	3	0	20	3	0	0	0	0	0
1	60	1	2	76	2	2	0	1	0	0
1	60	2	0	132	14	3	1	0	0	0
1	60	3	1	25	2	0	0	0	0	0
1	61	1	0	94	2	0	0	1	0	0
1	61	2	0	116	2	1	1	1	1	0
1	61	3	0	20	1	0	0	0	0	0
1	62	1	0	90	7	1	0	0	1	0
1	62	2	0	174	11	2	1	0	2	0
1	62	3	0	32	1	0	0	0	0	0
1	63	1	1	99	8	1	1	0	0	0
1	63	2	0	164	11	2	0	1	1	0
1	63	3	0	22	1	0	1	0	0	0
1	64	1	0	83	3	0	2	0	0	0
1	64	2	0	173	5	1	0	0	0	0
1	64	3	0	17	3	0	0	0	0	0
1	65	1	1	84	3	1	0	0	0	0
1	65	2	0	156	10	1	0	0	0	0
1	65	3	0	15	0	1	0	0	0	0
1	66	1	0	95	7	1	0	1	0	0
1	66	2	0	178	4	0	0	0	0	0
1	66	3	1	17	0	0	0	0	0	0
2	55	1	1	18	5	5	0	0	0	0
2	55	2	0	94	10	18	0	0	0	0
2	55	3	0	85	7	2	1	1	0	0
2	56	1	0	27	4	0	0	0	0	0
2	56	2	0	122	24	9	0	0	0	0
2	56	3	0	97	12	0	1	0	0	0
2	57	1	0	18	2	1	0	0	0	0
2	57	2	1	93	14	6	0	0	0	0
2	57	3	0	97	16	1	0	0	0	0
2	58	1	0	29	5	3	0	0	0	0
2	58	2	1	124	20	8	0	0	0	0
2	58	3	0	87	12	1	0	0	0	0
2	59	1	0	21	3	0	0	0	0	0
2	59	2	0	116	22	10	0	0	0	0
2	59	3	0	83	8	1	0	0	0	0
2	60	1	0	20	3	1	0	0	0	0
2	60	2	1	117	17	9	0	0	0	0
2	60	3	0	54	11	1	0	0	0	0
2	61	1	0	17	3	3	0	0	0	0
2	61	2	2	93	28	6	0	0	0	0
2	61	3	1	83	9	0	0	0	0	0
2	62	1	0	22	3	0	0	0	0	0
2	62	2	0	90	29	5	0	1	0	0
2	62	3	0	86	8	0	1	0	0	0
2	63	1	0	35	3	0	0	0	0	0
2	63	2	1	90	28	18	1	1	0	0
2	63	3	0	55	11	0	0	0	2	0
2	64	1	0	23	1	0	1	1	0	0
2	64	2	1	100	13	3	2	0	0	0
2	64	3	0	79	11	1	1	0	0	0
2	65	1	1	21	5	1	0	0	0	0
2	65	2	1	105	20	9	1	0	1	0
2	65	3	1	75	7	2	0	0	0	0
2	66	1	0	21	3	1	0	0	0	0
2	66	2	1	76	26	2	0	0	1	0
2	66	3	0	61	6	0	0	0	0	0
3	55	1	4	105	18	10	1	0	0	0
3	55	2	0	105	9	4	0	0	0	0
