	Starowislna - Podgorska Junction, 62 S-37 - 106									

0	Powstancow Slaskich Most - 106102, 102106									

1	Podgorska - 106104, 104106									

2	Starowislna - 106109, 109106									

3	Podgorska Kotlarska - 106112, 112106									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	11	2	0	0	0	0	0
0	56	1	0	12	2	0	0	0	0	0
0	57	1	0	14	3	0	0	0	1	0
0	58	1	0	11	2	0	0	0	0	0
0	59	1	0	13	2	0	0	0	0	0
0	60	1	0	10	2	0	0	0	0	0
0	61	1	0	14	2	0	0	0	0	0
0	62	1	0	9	1	0	0	0	0	0
0	63	1	0	12	2	0	0	0	0	0
0	64	1	0	9	1	0	0	0	0	0
0	65	1	0	11	2	0	0	0	0	0
0	66	1	0	9	1	0	0	0	0	0
0	55	2	0	99	15	1	0	1	1	0
0	56	2	1	108	15	3	0	0	2	0
0	57	2	1	130	23	3	0	0	5	0
0	58	2	0	100	18	1	0	3	2	0
0	59	2	0	121	18	1	0	0	4	0
0	60	2	1	92	14	2	0	0	1	0
0	61	2	0	130	14	0	0	0	0	0
0	62	2	0	79	10	1	0	2	1	0
0	63	2	0	104	14	0	1	0	1	0
0	64	2	1	78	12	1	0	0	1	0
0	65	2	1	97	14	1	0	0	0	0
0	66	2	1	85	10	0	0	0	0	0
0	55	3	0	69	18	1	0	0	0	0
0	56	3	0	63	13	0	0	0	0	0
0	57	3	0	62	9	1	0	1	1	0
0	58	3	0	60	4	0	0	0	0	0
0	59	3	1	60	14	2	1	0	1	0
0	60	3	0	42	7	2	0	0	0	0
0	61	3	0	73	16	0	0	0	1	0
0	62	3	0	49	12	1	0	0	0	0
0	63	3	0	81	14	1	1	0	0	0
0	64	3	0	58	12	0	3	0	0	0
0	65	3	0	135	8	0	1	0	1	0
0	66	3	0	48	6	1	0	2	0	0
1	55	1	0	3	0	0	0	0	0	0
1	56	1	0	1	1	0	0	0	0	0
1	57	1	0	5	0	0	0	0	0	0
1	58	1	0	6	1	0	0	0	0	0
1	59	1	0	5	0	1	0	0	0	0
1	60	1	0	5	0	0	0	0	0	0
1	61	1	0	2	1	0	0	0	0	0
1	62	1	0	5	0	0	0	0	0	0
1	63	1	0	3	0	0	0	0	0	0
1	64	1	0	5	0	0	0	0	0	0
1	65	1	0	6	2	0	0	0	0	0
1	66	1	0	1	0	0	0	0	0	0
1	55	2	1	55	11	2	0	0	1	0
1	56	2	0	42	7	0	0	0	0	0
1	57	2	0	51	6	0	0	0	1	0
1	58	2	0	57	11	0	0	0	0	0
1	59	2	0	63	6	0	0	0	0	0
1	60	2	0	51	8	0	0	0	1	0
1	61	2	1	61	6	0	0	0	0	0
1	62	2	0	53	7	1	0	0	1	0
1	63	2	0	61	3	0	0	0	0	0
1	64	2	0	81	2	0	0	0	0	0
1	65	2	0	61	10	0	0	0	0	0
1	66	2	0	56	5	0	0	1	2	0
