	Wielicka - Powstancow Wielkopolskich Junction, 55 P-14, 55 P-14a - 103

0	Wielicka Dworcowa - 103096, 96103

1	Powstancow Slaskich - 103100, 100103

2	Wielicka Limanowskiego - 103102, 102103

3	Powstancow Wielkopolskich - 103127, 127103


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	2	1	106	22	0	0	0	0	0
0	55	3	2	94	12	2	2	0	1	0
0	56	2	0	110	29	0	0	0	0	0
0	56	3	3	107	17	8	1	0	0	0
0	57	2	2	110	24	2	1	0	1	0
0	57	3	2	168	24	5	2	0	1	0
0	58	2	2	104	25	2	0	1	0	0
0	58	3	1	85	19	3	3	0	0	0
0	59	2	2	107	28	1	0	0	0	0
0	59	3	3	102	8	2	1	0	1	0
0	60	2	1	97	24	3	0	0	0	0
0	60	3	3	122	8	1	2	1	0	0
0	61	2	1	126	15	1	0	0	1	0
0	61	3	1	99	11	8	0	1	1	0
0	62	2	1	112	20	2	0	2	1	0
0	62	3	2	119	11	6	2	1	0	0
0	63	2	4	100	8	2	0	0	2	0
0	63	3	2	91	11	3	6	0	0	0
0	64	2	1	96	27	0	0	0	1	0
0	64	3	5	87	9	5	3	1	0	0
0	65	2	3	107	21	0	0	0	2	0
0	65	3	1	112	13	3	8	1	1	0
0	66	2	2	107	14	0	0	0	1	0
0	66	3	3	103	11	3	4	0	0	0
1	55	1	1	23	8	2	1	0	0	0
1	55	2	1	193	53	16	3	0	0	0
1	55	3	0	16	5	0	0	0	0	0
1	56	1	3	26	4	1	0	0	0	0
1	56	2	0	207	22	15	6	0	0	0
1	56	3	0	10	5	1	2	0	0	0
1	57	1	0	16	2	3	1	1	0	0
1	57	2	0	200	23	22	8	0	0	0
1	57	3	0	17	3	0	0	0	0	0
1	58	1	0	22	6	3	0	0	0	0
1	58	2	1	232	36	20	10	0	0	0
1	58	3	0	11	2	0	0	0	0	0
1	59	1	0	21	3	2	0	0	0	0
1	59	2	1	208	31	13	7	0	0	0
1	59	3	0	13	5	0	0	0	0	0
1	60	1	0	17	3	1	0	0	0	0
1	60	2	1	188	35	16	8	0	0	0
1	60	3	1	11	2	4	0	0	0	0
1	61	1	0	18	3	0	0	0	0	0
1	61	2	3	205	22	20	1	0	0	0
1	61	3	1	20	3	1	1	1	0	0
1	62	1	0	22	1	0	0	0	0	0
1	62	2	1	200	30	19	15	3	0	0
1	62	3	0	20	4	1	1	0	0	0
1	63	1	0	25	7	1	0	0	0	0
1	63	2	1	205	26	12	11	0	0	0
1	63	3	0	8	3	2	1	0	0	0
1	64	1	0	27	3	0	1	0	0	0
1	64	2	3	226	22	14	8	1	0	0
1	64	3	0	21	3	2	1	0	0	0
1	65	1	0	21	3	0	0	0	0	0
1	65	2	2	199	12	15	7	0	0	0
1	65	3	0	17	1	2	1	0	0	0
1	66	1	0	17	2	1	0	0	0	0
1	66	2	3	236	19	12	6	1	0	0
1	66	3	1	11	4	1	0	0	0	0
2	55	1	2	34	5	0	0	1	0	0
2	55	2	3	110	16	0	0	0	1	0
2	55	3	0	39	6	0	0	1	0	0
2	56	1	0	35	4	1	0	0	0	0
2	56	2	2	120	26	0	0	0	0	0
2	56	3	0	36	3	0	1	0	0	0
2	57	1	1	37	3	0	0	0	1	0
2	57	2	2	110	20	1	0	0	0	0
2	57	3	0	42	2	0	0	0	0	0
2	58	1	1	33	3	0	0	0	0	0
2	58	2	3	152	18	4	0	0	0	0
2	58	3	0	59	9	2	0	0	0	0
2	59	1	2	24	3	0	0	0	0	0
2	59	2	5	130	13	0	0	0	0	0
2	59	3	1	43	4	1	0	0	0	0
2	60	1	1	18	5	2	0	0	0	0
2	60	2	4	137	21	0	0	0	0	0
2	60	3	0	46	4	1	0	0	0	0
2	61	1	0	47	3	1	0	0	0	0
2	61	2	3	140	15	1	0	0	0	0
2	61	3	0	53	4	0	0	0	0	0
2	62	1	1	31	4	1	0	0	0	0
2	62	2	6	130	18	0	0	0	0	0
2	62	3	0	53	4	1	0	0	0	0
2	63	1	2	31	2	0	0	0	0	0
2	63	2	3	127	19	0	0	0	1	0
2	63	3	0	53	0	1	0	0	0	0
2	64	1	1	29	3	0	0	0	0	0
2	64	2	5	147	25	0	0	0	1	0
2	64	3	0	71	8	1	0	0	0	0
2	65	1	1	36	2	0	0	0	0	0
2	65	2	4	138	16	0	0	0	1	0
2	65	3	0	66	4	2	0	0	0	0
2	66	1	2	26	0	0	0	0	0	0
2	66	2	4	129	18	1	0	0	0	0
2	66	3	0	61	9	2	0	0	0	0
3	55	1	4	100	20	13	3	0	0	0
3	55	2	0	215	25	33	10	2	0	0
3	55	3	0	34	2	0	0	0	0	0
3	56	1	2	121	18	4	8	0	0	0
3	56	2	3	234	37	28	6	0	1	0
3	56	3	1	31	1	0	0	0	0	0
3	57	1	2	142	11	5	4	1	0	0
3	57	2	1	257	30	21	8	0	0	0
3	57	3	2	18	5	0	0	0	0	0
3	58	1	2	140	16	6	3	0	0	0
3	58	2	2	260	15	16	5	1	0	0
3	58	3	1	19	3	1	0	0	0	0
3	59	1	2	142	19	8	3	0	0	0
3	59	2	1	273	42	33	10	0	0	0
3	59	3	1	25	6	0	0	1	0	0
3	60	1	3	143	9	6	2	0	0	0
3	60	2	1	244	21	14	4	0	0	0
