	Witosa - Luzycka Junction, 69 P-44 - 88

0	Luzycka - 88087, 87088

1	Witosa - 88090, 90088

2	Luzycka Trybuny Ludow - 88089, 89088

3	Nowosadecka - 88095, 95088


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	7	0	0	0	0	0	0
0	55	2	1	23	0	0	0	0	0	0
0	55	3	0	16	0	0	0	0	0	0
0	56	1	0	6	0	0	0	0	0	0
0	56	2	1	30	0	0	0	0	0	0
0	56	3	0	10	3	2	0	0	0	0
0	57	1	0	8	0	0	0	0	0	0
0	57	2	0	20	1	0	1	0	0	0
0	57	3	0	10	3	2	0	0	0	0
0	58	1	0	6	0	0	0	0	0	0
0	58	2	1	25	1	0	1	0	1	0
0	58	3	1	10	4	0	0	0	0	0
0	59	1	0	5	0	0	0	0	0	0
0	59	2	0	31	2	1	0	0	0	0
0	59	3	0	10	2	0	0	0	0	0
0	60	1	0	6	0	0	0	0	0	0
0	60	2	0	23	0	0	0	0	0	0
0	60	3	0	10	3	0	0	0	0	0
0	61	1	0	11	0	0	0	0	0	0
0	61	2	0	35	2	1	1	0	0	0
0	61	3	0	15	2	0	0	0	0	0
0	62	1	0	5	0	0	0	0	0	0
0	62	2	0	30	5	0	0	0	0	0
0	62	3	0	16	2	1	0	0	0	0
0	63	1	0	10	5	0	0	0	0	0
0	63	2	0	50	2	0	0	0	0	0
0	63	3	2	20	2	5	0	0	0	0
0	64	1	0	10	2	0	0	0	0	0
0	64	2	0	35	0	0	0	0	0	0
0	64	3	0	10	3	5	0	0	0	0
0	65	1	0	10	2	0	0	0	0	0
0	65	2	0	40	2	1	0	0	0	0
0	65	3	0	10	0	0	0	0	0	0
0	66	1	0	10	1	0	0	0	0	0
0	66	2	0	45	1	0	0	0	0	0
0	66	3	0	15	0	0	0	0	0	0
1	55	1	1	19	1	0	0	0	0	0
1	55	2	3	45	7	4	0	0	0	0
1	55	3	0	3	2	0	0	0	0	0
1	56	1	2	9	0	0	0	0	0	0
1	56	2	1	38	10	0	0	0	0	0
1	56	3	0	5	2	2	0	0	0	0
1	57	1	3	8	2	0	0	0	0	0
1	57	2	2	45	2	2	0	0	0	0
1	57	3	0	3	2	0	0	0	0	0
1	58	1	2	15	2	1	0	0	0	0
1	58	2	3	40	4	5	0	0	0	0
1	58	3	0	13	0	0	0	0	0	0
1	59	1	2	21	4	0	0	0	0	0
1	59	2	3	59	5	0	0	2	0	0
1	59	3	0	15	0	0	0	0	0	0
1	60	1	1	12	4	0	0	0	0	0
1	60	2	1	55	4	1	0	0	0	0
1	60	3	0	8	0	0	0	0	0	0
1	61	1	2	25	2	0	0	0	0	0
1	61	2	3	77	3	0	0	0	0	0
1	61	3	0	11	2	0	0	0	0	0
1	62	1	2	13	3	1	0	0	0	0
1	62	2	3	72	3	0	0	0	0	0
1	62	3	0	12	4	0	0	0	0	0
1	63	1	2	25	4	0	0	0	0	0
1	63	2	3	70	6	0	0	1	0	0
1	63	3	0	18	1	0	0	0	0	0
1	64	1	0	19	0	0	0	0	0	0
1	64	2	2	62	3	3	0	0	2	0
1	64	3	0	11	3	0	0	0	0	0
1	65	1	0	54	2	0	0	0	0	0
1	65	2	3	79	4	0	0	0	0	0
1	65	3	0	10	1	0	0	0	0	0
1	66	1	0	25	4	0	0	0	0	0
1	66	2	2	75	3	1	0	0	1	0
1	66	3	0	17	0	0	0	0	0	0
2	55	1	1	7	3	0	0	1	0	0
2	55	2	0	29	5	1	0	1	0	0
2	55	3	4	10	7	1	0	0	0	0
2	56	1	1	12	0	0	0	0	0	0
2	56	2	1	26	4	1	0	0	0	0
2	56	3	1	18	0	1	0	0	0	0
2	57	1	0	11	0	0	0	0	0	0
2	57	2	0	30	4	0	0	0	0	0
2	57	3	3	13	1	0	0	0	0	0
2	58	1	0	15	1	1	0	0	0	0
2	58	2	1	52	9	0	0	0	0	0
2	58	3	3	21	1	0	0	0	0	0
2	59	1	1	9	4	0	0	0	0	0
2	59	2	0	42	5	4	0	1	0	0
2	59	3	2	23	3	0	0	0	0	0
2	60	1	2	10	0	0	0	0	0	0
2	60	2	1	46	3	0	1	0	0	0
2	60	3	2	14	0	0	0	0	0	0
2	61	1	1	14	0	0	0	0	0	0
2	61	2	0	37	4	1	0	0	0	0
2	61	3	1	17	1	0	0	0	0	0
2	62	1	0	15	0	0	0	0	0	0
2	62	2	0	50	3	0	0	0	0	0
2	62	3	1	27	2	1	0	0	0	0
2	63	1	3	16	1	0	0	0	0	0
2	63	2	1	49	7	0	0	0	1	0
