	"Zakopianska - Zawila Junction, 73 P-32 - 75"									

0	"Zakopianska - 75074, 74075"									

1	"Zawila - 75072, 72075"									

2	"Zakopianska Wadowicka - 75076, 76075"									

3	"Jugowicka - 75082, 82075"									


order	time	direction	bus 	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
0	55	1	0	15	4	1	0	0	0	0
0	55	2	6	167	36	5	2	0	0	0
0	55	3	1	19	5	0	0	0	0	0
0	56	1	0	17	5	2	0	0	0	0
0	56	2	9	148	46	11	4	0	0	0
0	56	3	0	8	4	0	0	0	0	0
0	57	1	0	15	4	1	0	0	0	0
0	57	2	6	216	41	7	1	2	0	0
0	57	3	0	10	4	0	0	0	0	0
0	58	1	0	21	3	3	0	0	0	0
0	58	2	5	166	27	10	2	0	0	0
0	58	3	2	10	2	0	0	0	0	0
0	59	1	0	7	6	1	0	0	0	0
0	59	2	12	201	28	5	1	0	0	0
0	59	3	0	12	4	0	0	0	0	0
0	60	1	0	22	4	2	0	0	0	0
0	60	2	5	175	41	5	1	0	0	0
0	60	3	0	11	3	0	0	0	0	0
0	61	1	0	14	5	1	0	0	0	0
0	61	2	9	192	41	10	1	0	2	0
0	61	3	2	20	5	0	0	0	0	0
0	62	1	0	21	7	5	0	0	0	0
0	62	2	8	231	39	10	1	2	0	0
0	62	3	0	16	3	0	0	0	0	0
0	63	1	0	20	8	2	0	1	1	0
0	63	2	9	220	37	12	3	0	0	0
0	63	3	0	17	3	0	0	1	0	0
0	64	1	0	18	6	1	0	0	0	0
0	64	2	11	287	41	16	6	0	1	0
0	64	3	0	12	5	1	0	0	0	0
0	65	1	0	21	6	0	0	1	0	0
0	65	2	6	230	33	8	6	0	0	0
0	65	3	0	15	5	0	1	0	0	0
0	66	1	0	15	3	2	0	0	1	0
0	66	2	9	259	38	10	9	0	0	0
0	66	3	1	6	5	1	0	0	0	0
1	55	1	1	29	5	3	0	0	0	0
1	55	2	0	18	5	2	0	0	0	0
1	55	3	0	8	8	2	0	0	0	0
1	56	1	1	14	9	2	0	0	0	0
1	56	2	0	15	11	2	0	0	0	0
1	56	3	0	6	4	2	0	0	1	0
1	57	1	1	19	2	4	0	0	0	0
1	57	2	0	22	3	0	0	0	0	0
1	57	3	0	13	7	1	0	0	0	0
1	58	1	0	24	9	1	0	1	0	0
1	58	2	0	35	7	4	0	0	0	0
1	58	3	0	12	4	3	0	0	3	0
1	59	1	0	16	18	4	0	0	0	0
1	59	2	0	25	8	5	0	0	0	0
1	59	3	0	5	4	3	0	0	0	0
1	60	1	1	30	8	1	0	0	0	0
1	60	2	0	19	6	1	0	0	0	0
1	60	3	0	15	5	3	0	0	0	0
1	61	1	0	27	7	5	0	0	0	0
1	61	2	0	38	8	2	0	0	0	0
1	61	3	0	9	5	0	0	0	0	0
1	62	1	0	31	12	1	0	0	0	0
1	62	2	0	40	11	1	0	0	0	0
1	62	3	0	14	5	2	0	0	0	0
1	63	1	3	17	7	2	0	0	0	0
1	63	2	0	33	14	3	0	0	0	0
1	63	3	0	12	3	1	0	0	0	0
1	64	1	0	18	5	2	0	0	0	0
1	64	2	0	31	15	0	0	0	0	0
1	64	3	0	11	10	0	0	0	1	0
1	65	1	1	18	6	1	0	0	0	0
1	65	2	0	23	8	2	0	1	3	0
1	65	3	0	20	11	0	0	1	2	0
1	66	1	3	22	7	0	0	0	0	0
1	66	2	0	26	12	4	0	0	0	0
1	66	3	0	16	11	2	0	2	0	0
2	55	1	1	14	1	0	0	0	0	0
2	55	2	23	296	15	5	2	1	1	0
2	55	3	3	58	15	3	0	0	0	0
2	56	1	2	29	1	0	0	0	0	0
2	56	2	18	284	12	8	3	0	0	0
2	56	3	2	49	14	2	0	0	0	0
2	57	1	2	28	2	0	0	0	0	0
2	57	2	17	265	25	8	3	0	0	0
2	57	3	2	34	4	1	1	0	2	0
2	58	1	1	16	1	1	0	0	0	0
2	58	2	11	280	20	6	1	0	0	0
2	58	3	3	45	12	1	0	0	0	0
2	59	1	1	19	0	0	0	0	0	0
2	59	2	18	235	8	7	0	0	0	0
2	59	3	2	40	8	6	0	0	0	0
2	60	1	1	25	2	0	1	0	0	0
2	60	2	19	325	25	9	0	2	0	0
2	60	3	2	47	9	4	0	0	0	0
2	61	1	3	36	3	0	0	0	0	0
2	61	2	11	295	11	7	0	0	0	0
2	61	3	2	50	15	1	0	1	0	0
2	62	1	1	28	3	0	0	0	0	0
2	62	2	12	280	16	5	6	2	0	0
2	62	3	2	55	10	5	0	0	0	0
2	63	1	1	29	1	1	0	0	0	0
2	63	2	24	310	26	13	4	0	2	0
2	63	3	2	60	9	1	0	0	0	0
2	64	1	1	21	2	1	0	0	0	0
2	64	2	13	355	17	4	0	1	1	0
2	64	3	1	57	10	2	1	0	0	0
2	65	1	0	23	1	0	0	0	0	0
2	65	2	13	265	18	1	5	1	0	0
2	65	3	2	61	12	3	0	0	1	0
2	66	1	2	20	2	0	0	0	0	0
2	66	2	15	205	16	2	1	0	2	0
2	66	3	2	65	15	4	0	1	0	0
3	55	1	0	11	2	1	0	0	0	0
3	55	2	0	23	6	1	0	0	0	0
3	55	3	1	17	2	0	0	0	0	0
3	56	1	0	13	3	1	0	0	0	0
3	56	2	0	14	4	1	0	0	0	0
