	Zawila - Kobierzynska Junction, P36-04.INT - 72

1	Babinskiego - 72067, 67072

2	Kobierzynska - 72073, 73072

3	Zawila - 72075, 75072


order	time	direction	bus	personal	van	truck	truck + trailer	motorcycle	bicycle	horse and cart
1	55	1	1	14	2	5	0	0	0	0
1	55	2	0	8	2	1	0	0	0	0
1	56	1	1	11	18	1	0	0	1	0
1	56	2	1	42	8	3	0	0	0	0
1	57	1	1	14	6	1	0	0	0	0
1	57	2	2	38	6	8	1	0	0	0
1	58	1	2	14	4	0	0	1	0	0
1	58	2	1	26	8	10	0	0	1	0
1	59	1	1	18	6	0	0	0	0	0
1	59	2	2	27	10	5	1	0	0	0
1	60	1	1	25	3	0	0	0	1	0
1	60	2	1	53	16	5	0	1	0	0
1	61	1	2	18	8	0	0	0	0	0
1	61	2	2	44	13	2	2	1	0	0
1	62	1	2	19	11	0	0	0	0	0
1	62	2	1	36	7	3	1	0	1	0
1	63	1	2	13	5	0	0	0	1	0
1	63	2	1	41	13	8	2	0	0	0
1	64	1	2	9	4	1	0	0	0	0
1	64	2	2	44	5	3	1	0	0	0
1	65	1	2	14	5	0	0	1	0	0
1	65	2	1	54	15	3	1	0	1	0
1	66	1	2	19	6	1	0	0	0	0
1	66	2	2	62	9	3	2	0	0	0
2	55	1	0	18	1	0	0	0	0	0
2	55	3	0	4	4	0	0	0	0	0
2	56	1	2	12	8	1	0	0	0	0
2	56	3	2	11	3	0	0	0	0	0
2	57	1	0	18	9	1	0	0	0	0
2	57	3	1	15	6	1	0	0	0	0
2	58	1	1	16	3	0	0	0	0	0
2	58	3	2	22	9	0	0	0	2	0
2	59	1	1	10	2	0	0	0	0	0
2	59	3	2	15	5	0	0	1	1	0
2	60	1	0	23	5	0	0	0	0	0
2	60	3	3	17	4	0	0	0	0	0
2	61	1	1	27	4	0	0	0	0	0
2	61	3	1	12	9	0	0	0	0	0
2	62	1	1	24	4	0	0	0	0	0
2	62	3	2	17	8	0	0	0	0	0
2	63	1	1	31	9	2	0	0	0	0
2	63	3	1	10	8	1	0	0	0	0
2	64	1	0	15	8	1	0	0	0	0
2	64	3	2	13	10	0	0	0	0	0
2	65	1	1	32	5	0	0	0	1	0
2	65	3	1	14	10	0	0	1	1	0
2	66	1	2	14	7	0	0	1	0	0
2	66	3	2	20	7	0	0	0	0	0
3	55	2	1	25	3	7	0	0	0	0
3	55	3	1	9	2	0	0	0	0	0
3	56	2	1	85	12	6	1	0	1	0
3	56	3	1	20	2	3	1	0	0	0
3	57	2	2	49	13	5	1	0	0	0
3	57	3	0	29	7	2	0	0	0	0
3	58	2	3	50	10	5	2	0	0	0
3	58	3	1	21	5	1	0	0	0	0
3	59	2	1	48	12	4	1	0	0	0
3	59	3	1	11	7	0	0	0	0	0
3	60	2	1	56	9	5	4	0	0	0
3	60	3	2	21	7	3	0	0	1	0
3	61	2	1	61	11	4	0	1	0	0
3	61	3	0	28	5	1	0	0	0	0
3	62	2	3	51	4	7	1	0	0	0
3	62	3	1	24	5	1	0	0	0	0
3	63	2	1	66	8	2	3	0	0	0
3	63	3	1	29	5	0	0	0	0	0
3	64	2	2	45	10	1	4	0	0	0
3	64	3	0	25	4	0	0	0	0	0
3	65	2	3	51	8	6	1	0	0	0
3	65	3	3	39	5	0	0	0	0	0
3	66	2	2	56	6	5	1	0	1	0
3	66	3	0	31	5	2	0	0	0	0
