100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2327;72; 1,29;
500;2884;116; 1,12;
600;2851;149; 1,01;
700;2775;225; 0,88;
800;2717;283; 0,81;
900;2665;335; 0,75;
1000;2621;379; 0,70;
1100;2557;443; 0,65;
1200;2520;480; 0,61;
1300;2453;547; 0,57;
1400;2421;579; 0,54;
1500;2363;637; 0,51;
1600;2330;670; 0,49;
1700;2281;719; 0,46;
1800;2236;764; 0,44;
1900;2190;810; 0,42;
2000;2133;867; 0,40;
2100;2086;914; 0,38;
2200;2035;965; 0,37;
2300;2004;996; 0,36;
2400;1948;1052; 0,34;
2500;1910;1090; 0,33;
2600;1858;1142; 0,32;
2700;1812;1188; 0,31;
2800;1765;1235; 0,30;
2900;1713;1287; 0,28;
3000;1669;1331; 0,28;
3100;1617;1383; 0,27;
3200;1574;1426; 0,26;
3300;1526;1474; 0,25;
3400;1477;1523; 0,25;
3500;1435;1565; 0,24;
3600;1386;1614; 0,23;
3700;1342;1658; 0,23;
3800;1296;1704; 0,22;
3900;1252;1748; 0,22;
4000;1209;1791; 0,21;
4100;1161;1839; 0,21;
