100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2325;74; 1,28;
500;2878;122; 1,11;
600;2840;160; 1,00;
700;2755;245; 0,89;
800;2689;311; 0,82;
900;2588;412; 0,74;
1000;2503;497; 0,69;
1100;2429;571; 0,65;
1200;2338;662; 0,61;
1300;2266;734; 0,58;
1400;2182;818; 0,55;
1500;2113;887; 0,52;
1600;2024;976; 0,49;
1700;1931;1069; 0,47;
1800;1844;1156; 0,45;
1900;1766;1234; 0,43;
2000;1679;1321; 0,41;
2100;1557;1443; 0,39;
2200;1455;1545; 0,37;
2300;1406;1594; 0,36;
2400;1362;1638; 0,35;
2500;1280;1720; 0,34;
2600;1192;1808; 0,33;
2700;1121;1879; 0,32;
2800;1020;1980; 0,31;
2900;909;2091; 0,29;
3000;819;2181; 0,28;
3100;721;2279; 0,28;
3200;638;2362; 0,27;
3300;561;2439; 0,26;
3400;517;2483; 0,26;
3500;464;2536; 0,25;
3600;414;2586; 0,25;
3700;369;2631; 0,24;
3800;322;2678; 0,24;
3900;264;2736; 0,23;
4000;207;2793; 0,23;
4100;145;2855; 0,22;
