100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2325;74; 1,28;
500;2876;124; 1,10;
600;2839;161; 1,00;
700;2771;229; 0,90;
800;2695;305; 0,81;
900;2598;402; 0,74;
1000;2495;505; 0,69;
1100;2411;589; 0,64;
1200;2334;666; 0,61;
1300;2249;751; 0,57;
1400;2154;846; 0,54;
1500;2055;945; 0,51;
1600;1948;1052; 0,48;
1700;1847;1153; 0,46;
1800;1745;1255; 0,44;
1900;1642;1358; 0,42;
2000;1528;1472; 0,40;
2100;1421;1579; 0,38;
2200;1317;1683; 0,37;
2300;1227;1773; 0,36;
2400;1131;1869; 0,35;
2500;1017;1983; 0,33;
2600;916;2084; 0,32;
2700;826;2174; 0,31;
2800;722;2278; 0,30;
2900;622;2378; 0,29;
3000;514;2486; 0,29;
3100;449;2551; 0,28;
3200;380;2620; 0,27;
3300;324;2676; 0,27;
3400;277;2723; 0,27;
3500;225;2775; 0,26;
3600;164;2836; 0,25;
3700;86;2914; 0,25;
3800;41;2959; 0,24;
3900;15;2985; 0,24;
3927;0;0;null;
END

