100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2325;74; 1,28;
500;2879;121; 1,11;
600;2843;157; 1,01;
700;2743;257; 0,88;
800;2670;330; 0,81;
900;2605;395; 0,75;
1000;2525;475; 0,70;
1100;2448;552; 0,65;
1200;2361;639; 0,60;
1300;2291;709; 0,57;
1400;2220;780; 0,54;
1500;2111;889; 0,50;
1600;2032;968; 0,48;
1700;1968;1032; 0,46;
1800;1854;1146; 0,43;
1900;1739;1261; 0,41;
2000;1614;1386; 0,39;
2100;1566;1434; 0,38;
2200;1477;1523; 0,36;
2300;1365;1635; 0,35;
2400;1278;1722; 0,34;
2500;1203;1797; 0,33;
2600;1082;1918; 0,31;
2700;999;2001; 0,30;
2800;910;2090; 0,29;
2900;822;2178; 0,29;
3000;726;2274; 0,28;
3100;638;2362; 0,27;
3200;557;2443; 0,26;
3300;498;2502; 0,26;
3400;445;2555; 0,25;
3500;399;2601; 0,25;
3600;352;2648; 0,25;
3700;299;2701; 0,24;
3800;244;2756; 0,24;
3900;183;2817; 0,23;
4000;121;2879; 0,23;
4100;58;2942; 0,22;
