100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2324;75; 1,28;
500;2879;121; 1,11;
600;2843;157; 1,00;
700;2798;202; 0,89;
800;2755;245; 0,81;
900;2721;279; 0,75;
1000;2677;323; 0,69;
1100;2636;364; 0,64;
1200;2593;407; 0,59;
1300;2550;450; 0,55;
1400;2503;497; 0,51;
1500;2471;529; 0,49;
1600;2418;582; 0,46;
1700;2380;620; 0,44;
1800;2336;664; 0,41;
1900;2299;701; 0,40;
2000;2248;752; 0,38;
2100;2216;784; 0,36;
2200;2162;838; 0,35;
2300;2132;868; 0,34;
2400;2087;913; 0,32;
2500;2051;949; 0,31;
2600;1999;1001; 0,30;
2700;1971;1029; 0,29;
2800;1922;1078; 0,28;
2900;1886;1114; 0,27;
3000;1845;1155; 0,26;
3100;1802;1198; 0,26;
3200;1755;1245; 0,25;
3300;1721;1279; 0,24;
3400;1670;1330; 0,23;
3500;1628;1372; 0,23;
3600;1588;1412; 0,22;
3700;1545;1455; 0,22;
3800;1500;1500; 0,21;
3900;1466;1534; 0,21;
4000;1418;1582; 0,20;
4100;1372;1628; 0,19;
