100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2323;76; 1,28;
500;2878;122; 1,11;
600;2849;151; 1,03;
700;2769;231; 0,89;
800;2693;307; 0,81;
900;2631;369; 0,75;
1000;2568;432; 0,70;
1100;2493;507; 0,65;
1200;2409;591; 0,59;
1300;2338;662; 0,56;
1400;2285;715; 0,53;
1500;2221;779; 0,50;
1600;2146;854; 0,48;
1700;2087;913; 0,46;
1800;2029;971; 0,44;
1900;1972;1028; 0,42;
2000;1902;1098; 0,40;
2100;1844;1156; 0,38;
2200;1771;1229; 0,37;
2300;1701;1299; 0,35;
2400;1655;1345; 0,34;
2500;1563;1437; 0,33;
2600;1480;1520; 0,31;
2700;1396;1604; 0,30;
2800;1336;1664; 0,29;
2900;1280;1720; 0,28;
3000;1211;1789; 0,27;
3100;1077;1923; 0,26;
3200;1020;1980; 0,26;
3300;956;2044; 0,25;
3400;859;2141; 0,24;
3500;766;2234; 0,23;
3600;674;2326; 0,23;
3700;605;2395; 0,22;
3800;541;2459; 0,22;
3900;499;2501; 0,21;
4000;445;2555; 0,21;
4100;383;2617; 0,21;
