100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2323;76; 1,28;
500;2877;123; 1,11;
600;2846;154; 1,02;
700;2751;249; 0,88;
800;2681;319; 0,81;
900;2615;385; 0,75;
1000;2533;467; 0,69;
1100;2453;547; 0,64;
1200;2361;639; 0,59;
1300;2294;706; 0,56;
1400;2227;773; 0,53;
1500;2150;850; 0,50;
1600;2068;932; 0,47;
1700;1990;1010; 0,45;
1800;1907;1093; 0,43;
1900;1851;1149; 0,41;
2000;1779;1221; 0,40;
2100;1689;1311; 0,38;
2200;1606;1394; 0,36;
2300;1531;1469; 0,35;
2400;1428;1572; 0,33;
2500;1341;1659; 0,32;
2600;1273;1727; 0,31;
2700;1169;1831; 0,30;
2800;1076;1924; 0,29;
2900;989;2011; 0,28;
3000;934;2066; 0,27;
3100;839;2161; 0,27;
3200;708;2292; 0,25;
3300;595;2405; 0,25;
3400;528;2472; 0,24;
3500;489;2511; 0,24;
3600;436;2564; 0,23;
3700;392;2608; 0,23;
3800;343;2657; 0,23;
3900;284;2716; 0,22;
4000;225;2775; 0,22;
4100;171;2829; 0,21;
