100;585;0; 0,00;
200;1205;0; 0,00;
300;1806;31; 1,54;
400;2329;70; 1,29;
500;2888;112; 1,11;
600;2855;145; 1,01;
700;2765;235; 0,89;
800;2685;315; 0,82;
900;2608;392; 0,75;
1000;2515;485; 0,69;
1100;2439;561; 0,65;
1200;2340;660; 0,60;
1300;2247;753; 0,57;
1400;2144;856; 0,53;
1500;2058;942; 0,51;
1600;1967;1033; 0,48;
1700;1874;1126; 0,46;
1800;1793;1207; 0,44;
1900;1701;1299; 0,42;
2000;1622;1378; 0,41;
2100;1565;1435; 0,39;
2200;1470;1530; 0,38;
2300;1376;1624; 0,36;
2400;1284;1716; 0,35;
2500;1189;1811; 0,34;
2600;1081;1919; 0,32;
2700;973;2027; 0,31;
2800;873;2127; 0,30;
2900;791;2209; 0,29;
3000;733;2267; 0,29;
3100;658;2342; 0,28;
3200;584;2416; 0,27;
3300;492;2508; 0,26;
3400;420;2580; 0,26;
3500;361;2639; 0,25;
3600;308;2692; 0,25;
3700;251;2749; 0,24;
3800;202;2798; 0,24;
3900;146;2854; 0,23;
4000;77;2923; 0,23;
4100;33;2967; 0,22;
