100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2323;76; 1,28;
500;2880;120; 1,11;
600;2848;152; 1,01;
700;2786;214; 0,90;
800;2722;278; 0,82;
900;2641;359; 0,74;
1000;2556;444; 0,68;
1100;2493;507; 0,64;
1200;2411;589; 0,60;
1300;2330;670; 0,56;
1400;2258;742; 0,54;
1500;2199;801; 0,51;
1600;2138;862; 0,49;
1700;2081;919; 0,47;
1800;2034;966; 0,45;
1900;1955;1045; 0,43;
2000;1879;1121; 0,41;
2100;1821;1179; 0,39;
2200;1737;1263; 0,37;
2300;1670;1330; 0,36;
2400;1594;1406; 0,35;
2500;1495;1505; 0,33;
2600;1426;1574; 0,32;
2700;1347;1653; 0,31;
2800;1251;1749; 0,30;
2900;1157;1843; 0,29;
3000;1074;1926; 0,28;
3100;991;2009; 0,27;
3200;919;2081; 0,26;
3300;854;2146; 0,26;
3400;776;2224; 0,25;
3500;690;2310; 0,24;
3600;628;2372; 0,24;
3700;571;2429; 0,23;
3800;508;2492; 0,23;
3900;436;2564; 0,22;
4000;391;2609; 0,22;
4100;342;2658; 0,21;
