100;585;0; 0,00;
200;1205;0; 0,00;
300;1807;30; 1,54;
400;2324;75; 1,28;
500;2878;122; 1,11;
600;2844;156; 1,01;
700;2765;235; 0,88;
800;2708;292; 0,80;
900;2632;368; 0,74;
1000;2555;445; 0,69;
1100;2499;501; 0,65;
1200;2442;558; 0,61;
1300;2371;629; 0,57;
1400;2311;689; 0,54;
1500;2250;750; 0,51;
1600;2170;830; 0,48;
1700;2101;899; 0,46;
1800;2060;940; 0,44;
1900;1957;1043; 0,41;
2000;1852;1148; 0,39;
2100;1747;1253; 0,37;
2200;1696;1304; 0,36;
2300;1607;1393; 0,34;
2400;1531;1469; 0,33;
2500;1436;1564; 0,32;
2600;1348;1652; 0,31;
2700;1274;1726; 0,30;
2800;1183;1817; 0,29;
2900;1111;1889; 0,28;
3000;1017;1983; 0,27;
3100;917;2083; 0,26;
3200;822;2178; 0,25;
3300;721;2279; 0,25;
3400;624;2376; 0,24;
3500;546;2454; 0,23;
3600;498;2502; 0,23;
3700;436;2564; 0,23;
3800;389;2611; 0,22;
3900;333;2667; 0,22;
4000;278;2722; 0,21;
4100;227;2773; 0,21;
