100;287;0; 0,00;
200;597;0; 0,00;
300;900;28; 1,55;
400;1126;80; 1,29;
500;1389;111; 1,18;
600;1343;157; 1,05;
700;1276;224; 0,96;
800;1214;286; 0,88;
900;1159;341; 0,82;
1000;1101;399; 0,76;
1100;1064;436; 0,72;
1200;993;507; 0,66;
1300;959;541; 0,63;
1400;897;603; 0,59;
1500;856;644; 0,57;
1600;806;694; 0,54;
1700;761;739; 0,51;
1800;704;796; 0,49;
1900;656;844; 0,46;
2000;611;889; 0,44;
2100;556;944; 0,42;
2200;510;990; 0,41;
2300;456;1044; 0,39;
2400;421;1079; 0,38;
2500;371;1129; 0,36;
2600;318;1182; 0,35;
2700;263;1237; 0,33;
2800;204;1296; 0,32;
2900;152;1348; 0,30;
3000;72;1428; 0,29;
3100;27;1473; 0,28;
3196;0;1500; 0,27;
END

