100;287;0; 0,00;
200;597;0; 0,00;
300;900;28; 1,55;
400;1128;78; 1,29;
500;1389;111; 1,17;
600;1342;158; 1,04;
700;1301;199; 0,95;
800;1257;243; 0,86;
900;1220;280; 0,80;
1000;1169;331; 0,73;
1100;1138;362; 0,69;
1200;1088;412; 0,63;
1300;1050;450; 0,60;
1400;1009;491; 0,57;
1500;971;529; 0,54;
1600;916;584; 0,50;
1700;885;615; 0,48;
1800;835;665; 0,45;
1900;791;709; 0,43;
2000;749;751; 0,41;
2100;711;789; 0,40;
2200;658;842; 0,38;
2300;623;877; 0,36;
2400;576;924; 0,35;
2500;534;966; 0,34;
2600;494;1006; 0,32;
2700;447;1053; 0,31;
2800;400;1100; 0,30;
2900;358;1142; 0,29;
3000;304;1196; 0,28;
3100;245;1255; 0,27;
3200;194;1306; 0,26;
3300;124;1376; 0,25;
3400;49;1451; 0,23;
3500;23;1477; 0,23;
3563;0;0;null;
END

