100;655;0; 0,00;
200;1355;0; 0,00;
300;2067;0; 0,00;
400;2662;19; 1,70;
500;3301;64; 1,61;
600;3926;183; 1,53;
700;4484;318; 1,51;
800;4960;504; 1,50;
900;5436;731; 1,50;
1000;5832;1032; 1,47;
1100;6228;1378; 1,46;
1200;6667;1686; 1,44;
1300;6998;2048; 1,42;
1400;7345;2416; 1,39;
1500;7688;2768; 1,36;
1600;8111;3072; 1,34;
1700;8467;3415; 1,32;
1800;8808;3794; 1,29;
1900;9154;4153; 1,27;
2000;9542;4476; 1,25;
2100;9919;4800; 1,23;
2200;10302;5146; 1,20;
2300;10688;5491; 1,18;
2400;11080;5819; 1,16;
2500;11473;6169; 1,14;
2600;11822;6550; 1,11;
2700;12165;6907; 1,09;
2800;12507;7229; 1,07;
2900;12901;7541; 1,06;
3000;13327;7881; 1,04;
3100;13760;8199; 1,02;
3200;14124;8564; 1,00;
3300;14500;8901; 0,98;
3400;14875;9218; 0,97;
3500;15282;9561; 0,95;
3600;15605;9954; 0,94;
3700;15999;10267; 0,92;
3800;16386;10622; 0,91;
3900;16766;10951; 0,89;
4000;17155;11276; 0,88;
4100;17575;11581; 0,87;
