100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,70;
500;1653;41; 1,69;
600;1986;112; 1,68;
700;2252;210; 1,67;
800;2487;337; 1,66;
900;2638;538; 1,66;
1000;2773;763; 1,65;
1100;2880;1019; 1,64;
1200;3006;1291; 1,63;
1300;3064;1561; 1,61;
1400;3111;1851; 1,60;
1500;3153;2136; 1,59;
1600;3203;2453; 1,57;
1700;3258;2753; 1,55;
1800;3333;3051; 1,54;
1900;3393;3334; 1,53;
2000;3415;3646; 1,51;
2100;3495;3933; 1,50;
2200;3554;4249; 1,49;
2300;3591;4577; 1,48;
2400;3608;4900; 1,47;
2500;3621;5231; 1,46;
2600;3685;5531; 1,45;
2700;3739;5844; 1,44;
2800;3731;6175; 1,43;
2900;3746;6505; 1,42;
3000;3846;6775; 1,41;
3100;3905;7105; 1,41;
3200;3950;7423; 1,40;
3300;4061;7699; 1,39;
3400;4075;8041; 1,38;
3500;4129;8357; 1,38;
3600;4175;8668; 1,37;
3700;4257;8965; 1,36;
3800;4293;9305; 1,36;
3900;4307;9644; 1,35;
4000;4318;9995; 1,35;
4100;4371;10292; 1,34;
