100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,73;
500;1651;43; 1,68;
600;1982;116; 1,69;
700;2258;204; 1,67;
800;2484;340; 1,66;
900;2651;525; 1,66;
1000;2777;759; 1,64;
1100;2862;1037; 1,64;
1200;2987;1310; 1,63;
1300;3029;1596; 1,61;
1400;3116;1846; 1,60;
1500;3148;2141; 1,59;
1600;3203;2453; 1,57;
1700;3254;2757; 1,56;
1800;3341;3043; 1,54;
1900;3406;3321; 1,53;
2000;3444;3617; 1,52;
2100;3524;3904; 1,50;
2200;3603;4200; 1,49;
2300;3656;4512; 1,48;
2400;3706;4802; 1,47;
2500;3743;5109; 1,46;
2600;3836;5380; 1,44;
2700;3940;5643; 1,43;
2800;3973;5933; 1,42;
2900;3989;6262; 1,41;
3000;4052;6569; 1,40;
3100;4172;6838; 1,39;
3200;4254;7119; 1,38;
3300;4370;7390; 1,37;
3400;4431;7685; 1,36;
3500;4538;7948; 1,35;
3600;4587;8256; 1,34;
3700;4682;8540; 1,33;
3800;4766;8832; 1,32;
3900;4840;9111; 1,31;
4000;4906;9407; 1,30;
4100;4986;9677; 1,29;
