100;655;0; 0,00;
200;1355;0; 0,00;
300;2067;0; 0,00;
400;2662;19; 1,70;
500;3301;64; 1,61;
600;3926;183; 1,53;
700;4484;318; 1,51;
800;4960;504; 1,50;
900;5436;731; 1,50;
1000;5832;1032; 1,47;
1100;6228;1378; 1,46;
1200;6667;1686; 1,44;
1300;6998;2048; 1,42;
1400;7344;2417; 1,39;
1500;7687;2769; 1,36;
1600;8100;3083; 1,34;
1700;8484;3398; 1,32;
1800;8795;3807; 1,29;
1900;9152;4155; 1,27;
2000;9520;4498; 1,24;
2100;9872;4847; 1,23;
2200;10272;5176; 1,20;
2300;10691;5488; 1,18;
2400;11063;5836; 1,16;
2500;11457;6185; 1,14;
2600;11842;6530; 1,12;
2700;12193;6879; 1,10;
2800;12521;7215; 1,08;
2900;12912;7530; 1,06;
3000;13369;7839; 1,04;
3100;13790;8169; 1,02;
3200;14153;8535; 1,00;
3300;14515;8886; 0,99;
3400;14859;9234; 0,97;
3500;15299;9544; 0,95;
3600;15658;9901; 0,94;
3700;16045;10221; 0,92;
3800;16479;10529; 0,91;
3900;16876;10841; 0,90;
4000;17268;11163; 0,88;
4100;17672;11484; 0,87;
