100;655;0; 0,00;
200;1355;0; 0,00;
300;2067;0; 0,00;
400;2662;19; 1,70;
500;3301;64; 1,61;
600;3926;183; 1,53;
700;4484;318; 1,51;
800;4960;504; 1,50;
900;5436;731; 1,50;
1000;5830;1034; 1,48;
1100;6229;1377; 1,46;
1200;6664;1689; 1,44;
1300;6985;2061; 1,42;
1400;7326;2435; 1,39;
1500;7667;2789; 1,37;
1600;8082;3101; 1,35;
1700;8432;3450; 1,32;
1800;8773;3829; 1,29;
1900;9172;4135; 1,27;
2000;9535;4483; 1,25;
2100;9896;4823; 1,23;
2200;10299;5149; 1,21;
2300;10664;5515; 1,18;
2400;11022;5877; 1,16;
2500;11472;6170; 1,14;
2600;11837;6535; 1,12;
2700;12184;6888; 1,10;
2800;12483;7253; 1,07;
2900;12895;7547; 1,06;
3000;13305;7903; 1,04;
3100;13695;8264; 1,02;
3200;14079;8609; 1,00;
3300;14441;8960; 0,99;
3400;14818;9275; 0,97;
3500;15210;9633; 0,96;
3600;15583;9976; 0,94;
3700;15964;10302; 0,92;
3800;16360;10648; 0,91;
3900;16752;10965; 0,90;
4000;17158;11273; 0,88;
4100;17590;11566; 0,87;
