100;655;0; 0,00;
200;1355;0; 0,00;
300;2067;0; 0,00;
400;2662;19; 1,70;
500;3301;64; 1,61;
600;3926;183; 1,53;
700;4484;318; 1,51;
800;4960;504; 1,50;
900;5436;731; 1,50;
1000;5832;1032; 1,47;
1100;6225;1381; 1,46;
1200;6665;1688; 1,44;
1300;6984;2062; 1,42;
1400;7348;2413; 1,39;
1500;7674;2782; 1,37;
1600;8099;3084; 1,35;
1700;8464;3418; 1,32;
1800;8807;3795; 1,29;
1900;9176;4131; 1,27;
2000;9514;4504; 1,25;
2100;9888;4831; 1,22;
2200;10250;5198; 1,20;
2300;10651;5528; 1,18;
2400;11048;5851; 1,16;
2500;11448;6194; 1,14;
2600;11824;6548; 1,12;
2700;12162;6910; 1,10;
2800;12504;7232; 1,08;
2900;12840;7602; 1,06;
3000;13284;7924; 1,04;
3100;13704;8255; 1,02;
3200;14079;8609; 1,01;
3300;14428;8973; 0,99;
3400;14810;9283; 0,97;
3500;15245;9598; 0,96;
3600;15608;9951; 0,94;
3700;15999;10267; 0,93;
3800;16456;10552; 0,91;
3900;16844;10873; 0,90;
4000;17237;11194; 0,89;
4100;17636;11520; 0,88;
