100;655;0; 0,00;
200;1355;0; 0,00;
300;2067;0; 0,00;
400;2659;22; 1,68;
500;3296;69; 1,60;
600;3923;186; 1,56;
700;4489;313; 1,52;
800;4995;469; 1,51;
900;5486;681; 1,51;
1000;5888;976; 1,49;
1100;6336;1270; 1,47;
1200;6785;1568; 1,44;
1300;7117;1929; 1,42;
1400;7509;2252; 1,39;
1500;7858;2598; 1,37;
1600;8253;2930; 1,34;
1700;8589;3293; 1,32;
1800;9001;3601; 1,30;
1900;9362;3945; 1,27;
2000;9696;4322; 1,25;
2100;10079;4640; 1,23;
2200;10431;5017; 1,20;
2300;10764;5415; 1,18;
2400;11131;5768; 1,15;
2500;11555;6087; 1,13;
2600;11940;6432; 1,11;
2700;12311;6761; 1,10;
2800;12635;7101; 1,07;
2900;13016;7426; 1,06;
3000;13493;7715; 1,04;
3100;13911;8048; 1,02;
3200;14299;8389; 1,00;
3300;14679;8722; 0,99;
3400;15028;9065; 0,97;
3500;15411;9432; 0,95;
3600;15817;9742; 0,94;
3700;16179;10087; 0,93;
3800;16610;10398; 0,91;
3900;16965;10752; 0,90;
4000;17354;11077; 0,89;
4100;17767;11389; 0,87;
