100;163;0; 0,00;
200;342;0; 0,00;
300;529;0; 0,00;
400;657;11; 1,69;
500;830;19; 1,69;
600;972;64; 1,71;
700;1112;121; 1,71;
800;1212;193; 1,72;
900;1299;299; 1,72;
1000;1310;451; 1,72;
1100;1320;603; 1,72;
1200;1351;761; 1,71;
1300;1367;914; 1,71;
1400;1363;1103; 1,71;
1500;1347;1272; 1,70;
1600;1353;1447; 1,70;
1700;1363;1618; 1,70;
1800;1388;1781; 1,70;
1900;1388;1958; 1,70;
2000;1389;2134; 1,70;
2100;1384;2328; 1,69;
2200;1390;2506; 1,69;
2300;1384;2693; 1,69;
2400;1398;2858; 1,69;
2500;1435;3020; 1,69;
2600;1457;3195; 1,69;
2700;1474;3387; 1,69;
2800;1465;3554; 1,69;
2900;1450;3742; 1,69;
3000;1441;3926; 1,69;
3100;1412;4136; 1,69;
3200;1412;4314; 1,69;
3300;1427;4487; 1,69;
3400;1443;4653; 1,69;
3500;1427;4841; 1,69;
3600;1415;5045; 1,69;
3700;1437;5218; 1,69;
3800;1417;5414; 1,69;
3900;1417;5593; 1,69;
4000;1404;5777; 1,68;
4100;1412;5940; 1,68;
