100;163;0; 0,00;
200;342;0; 0,00;
300;529;0; 0,00;
400;657;11; 1,69;
500;830;19; 1,69;
600;972;64; 1,71;
700;1112;121; 1,71;
800;1216;189; 1,72;
900;1303;295; 1,72;
1000;1312;449; 1,72;
1100;1327;596; 1,72;
1200;1359;753; 1,71;
1300;1364;917; 1,71;
1400;1365;1101; 1,71;
1500;1344;1275; 1,70;
1600;1350;1450; 1,70;
1700;1371;1610; 1,70;
1800;1386;1783; 1,70;
1900;1379;1967; 1,70;
2000;1385;2138; 1,70;
2100;1388;2324; 1,70;
2200;1400;2496; 1,69;
2300;1391;2686; 1,69;
2400;1400;2856; 1,69;
2500;1433;3022; 1,69;
2600;1456;3196; 1,69;
2700;1483;3378; 1,69;
2800;1467;3552; 1,69;
2900;1450;3742; 1,69;
3000;1442;3925; 1,69;
3100;1405;4143; 1,69;
3200;1413;4313; 1,69;
3300;1428;4486; 1,69;
3400;1434;4662; 1,69;
3500;1427;4841; 1,69;
3600;1415;5045; 1,69;
3700;1434;5221; 1,69;
3800;1414;5417; 1,69;
3900;1404;5606; 1,69;
4000;1409;5772; 1,69;
4100;1385;5967; 1,69;
