100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,70;
500;1653;41; 1,69;
600;1986;112; 1,68;
700;2252;210; 1,67;
800;2487;337; 1,66;
900;2638;538; 1,66;
1000;2773;763; 1,65;
1100;2880;1019; 1,64;
1200;3009;1288; 1,63;
1300;3067;1558; 1,62;
1400;3122;1840; 1,60;
1500;3155;2134; 1,59;
1600;3224;2432; 1,57;
1700;3246;2765; 1,56;
1800;3312;3072; 1,54;
1900;3370;3357; 1,53;
2000;3397;3664; 1,52;
2100;3475;3953; 1,51;
2200;3531;4272; 1,49;
2300;3561;4607; 1,48;
2400;3579;4929; 1,47;
2500;3600;5252; 1,46;
2600;3658;5558; 1,45;
2700;3727;5856; 1,44;
2800;3739;6167; 1,43;
2900;3767;6484; 1,43;
3000;3800;6821; 1,42;
3100;3894;7116; 1,41;
3200;3933;7440; 1,41;
3300;4030;7730; 1,40;
3400;4067;8049; 1,39;
3500;4118;8368; 1,38;
3600;4169;8674; 1,38;
3700;4216;9006; 1,37;
3800;4276;9322; 1,37;
3900;4301;9650; 1,36;
4000;4319;9994; 1,35;
4100;4372;10291; 1,35;
