100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,70;
500;1653;41; 1,69;
600;1986;112; 1,68;
700;2251;211; 1,66;
800;2486;338; 1,66;
900;2651;525; 1,66;
1000;2782;754; 1,64;
1100;2890;1009; 1,64;
1200;3003;1294; 1,62;
1300;3054;1571; 1,61;
1400;3113;1849; 1,59;
1500;3158;2131; 1,58;
1600;3210;2446; 1,57;
1700;3256;2755; 1,55;
1800;3322;3062; 1,54;
1900;3383;3344; 1,53;
2000;3396;3665; 1,51;
2100;3468;3960; 1,50;
2200;3510;4293; 1,49;
2300;3563;4605; 1,48;
2400;3596;4912; 1,47;
2500;3631;5221; 1,46;
2600;3663;5553; 1,45;
2700;3745;5838; 1,44;
2800;3728;6178; 1,43;
2900;3780;6471; 1,42;
3000;3833;6788; 1,41;
3100;3911;7099; 1,41;
3200;3957;7416; 1,40;
3300;3992;7768; 1,39;
3400;4074;8042; 1,39;
3500;4150;8336; 1,38;
3600;4177;8666; 1,37;
3700;4246;8976; 1,37;
3800;4258;9340; 1,36;
3900;4306;9645; 1,35;
4000;4348;9965; 1,35;
4100;4369;10294; 1,34;
