100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,70;
500;1653;41; 1,69;
600;1986;112; 1,68;
700;2253;209; 1,67;
800;2485;339; 1,66;
900;2638;538; 1,65;
1000;2784;752; 1,65;
1100;2879;1020; 1,64;
1200;3010;1287; 1,63;
1300;3040;1585; 1,61;
1400;3106;1856; 1,60;
1500;3158;2131; 1,58;
1600;3219;2437; 1,57;
1700;3259;2752; 1,55;
1800;3334;3050; 1,54;
1900;3367;3360; 1,53;
2000;3376;3685; 1,51;
2100;3462;3966; 1,50;
2200;3512;4291; 1,49;
2300;3551;4617; 1,48;
2400;3601;4907; 1,47;
2500;3608;5244; 1,46;
2600;3675;5541; 1,45;
2700;3752;5831; 1,44;
2800;3773;6133; 1,43;
2900;3786;6465; 1,42;
3000;3835;6786; 1,42;
3100;3898;7112; 1,41;
3200;3957;7416; 1,40;
3300;4032;7728; 1,40;
3400;4083;8033; 1,39;
3500;4129;8357; 1,38;
3600;4125;8718; 1,37;
3700;4215;9007; 1,37;
3800;4280;9318; 1,36;
3900;4291;9660; 1,36;
4000;4331;9982; 1,35;
4100;4366;10297; 1,34;
