100;330;0; 0,00;
200;674;0; 0,00;
300;1034;0; 0,00;
400;1318;12; 1,70;
500;1653;41; 1,69;
600;1986;112; 1,68;
700;2253;209; 1,66;
800;2490;334; 1,66;
900;2663;513; 1,65;
1000;2777;759; 1,64;
1100;2882;1017; 1,64;
1200;3018;1279; 1,63;
1300;3079;1546; 1,61;
1400;3114;1848; 1,59;
1500;3154;2135; 1,58;
1600;3211;2445; 1,56;
1700;3267;2744; 1,55;
1800;3321;3063; 1,54;
1900;3387;3340; 1,52;
2000;3397;3664; 1,51;
2100;3464;3964; 1,50;
2200;3529;4274; 1,49;
2300;3559;4609; 1,48;
2400;3572;4936; 1,47;
2500;3613;5239; 1,46;
2600;3646;5570; 1,45;
2700;3732;5851; 1,44;
2800;3707;6199; 1,43;
2900;3744;6507; 1,42;
3000;3806;6815; 1,41;
3100;3904;7106; 1,41;
3200;3934;7439; 1,40;
3300;4021;7739; 1,39;
3400;4052;8064; 1,39;
3500;4104;8382; 1,38;
3600;4151;8692; 1,37;
3700;4192;9030; 1,37;
3800;4271;9327; 1,36;
3900;4270;9681; 1,35;
4000;4317;9996; 1,35;
4100;4355;10308; 1,34;
